contact,name,category,township,street,state
" 0930232690, 09798141976",739,Steel Pipes & Accessories,Mingalar Taung Nyunt,"Rm 739, 3rd Flr, Shwe Mingalar Market, Car Parking (1),",Yangon Region
" 01544861, 095046165, 0973203770",Kasumi,Soaps,Yankin,"22-A, Pyi Tharyar St., Bauk Htaw,",Yangon Region
" 095089378, 09420015507, 09420097049, 09970281967, 09799700709","Co Co Light House Co.,Ltd.",Soap Cream & Oil,South Okkalapa ,"Bldg 1, Rm 2, Than Thu Mar Rd., Zizawa Garden Housing,",Yangon Region
 09971728644,Looker,Men's Wear Shops,Tarmwe,"Rm 307, 3rd Flr, United Living Mall,",Yangon Region
 0973207066,Clean-Max,Soap Cream & Oil,Hlaing,"45, Butar Yon St., Ward (1),",Yangon Region
" 01592302, 01592301",Myat Miba,Stainless Steel Wares,Dagon Seikkan,"198, Thamardi Lane 1st St., Industrial Zone,",Yangon Region
 095123561,Chaw Su [Ma],Soap Cream & Oil,Mingalar Taung Nyunt,"Rm 718, 3rd Flr, Mingalar Market,",Yangon Region
" 09440011165, 09440011156",Myint Moh,Stainless Steel Wares,Mingalardon,"Pyay Rd., Near Ka Nya Na Office, Htauk Kyant (North) Ward,",Yangon Region
" 01685143, 01685690, 098615561, 095119060, 095133585","Queen, Nay Wah, Shwe Nan Taw, Billionwre",Soap Factories,Hlaing Thar Yar,"41, De Pe` Yinn Wun Htauk U Mye` St., Industrial Zone (4),",Yangon Region
,Aung Chan Thar,Soft Drinks/Juices & Beverages,Hlaing Thar Yar,"Bldg B/102,Rm 10,Kyan Sit Thar St.,Nawaday Shop House",Yangon
" 01384966, 01254164, 01385633","Classic Industries Co.,Ltd.",Soap Cream & Oil,Kyauktada,"225/227, Rm 901, 9th Flr, Bo Aung Kyaw St., Olympic Tower,",Yangon Region
 01618134,"Mottama Co.,Ltd.",Stainless Steel Wares,Shwe Pyi Thar,"74/75,Kanaung Min Thar Gyi St.,Industrial Zone (4)",Yangon Region
" 01682168, 01564336, 095159558, 095078546, 095414848","Myanmar Typical Production Co.,Ltd.",Stainless Steel Wares,Insein,"23 Shed,Rm 5,Padamyar 3rd St.,Sawbwargyi Gone Warehouse Complex",Yangon Region
" 0949276856, 01709020",Lucky Star,Karaoke [KTV],Hlaing,"Parami Rd.,Ward (15)",Yangon Region
" 01212066 Ext.232, 095104744, 095009886",Myat Hay Mhan Kyaw,Stainless Steel Wares,Latha,"Rm 8/21/199/200,G Flr,Iron Market",Yangon Region
" 09261617083, 09974309887",Myat Thukha,Stainless Steel Wares,Mingalardon,"Aung See Gone Pagoda St., Corner of Kyaung Gyi 3rd St., Kyaung Gyi Ward,",Yangon Region
" 0943126226, 09261573710",Mya Thwin [U],Stainless Steel Wares,South Dagon,"421, Shwe Li St., Industrial Zone (2),",Yangon Region
" 01546056, 095072054, 0973198866, 0973196688",Myanmar Central,Stainless Steel Wares,Tarmwe,"17, 166th St., Tarmway Gyee (Kha) Ward,",Yangon Region
 09264844301~4,"Han Global Co.,Ltd.",Snacks,Shwe Pyi Thar,"85, Phan Chet Wun U Shwe Oh St., Industrial Zone (3),",Yangon Region
" 0973186166, 0973187122, 09977479187",Kyaw,Snacks,South Dagon,"528~531, Inntaw St., Industrial Zone (2),",Yangon Region
" 01554419, 01554421, 01554427, 0973198866, 0973196688, 0933889533","Myanmar Unitel Trading Co.,Ltd.",Stainless Steel Wares,Tarmwe,"17, 166th St., Tarmway Gyee Ward,",Yangon Region
" 09260261117, 09260260118","Colour Care Business Group Co.,Ltd.",Cooking Oil,Shwe Pyi Thar,"18, U Phoe Hlaing St., Industrial Zone (3),",Yangon Region
 095192060,Annawah Min,Snacks,South Dagon,"1029, Shwe Taung Gyar 6th St., Industrial Zone (2),",Yangon Region
" 095118874, 01591440, 09253679239",Five Star,Snacks,South Dagon,"470, Inntaw St., Industrial Zone (2),",Yangon Region
" 095015917, 0973072773, 01552236 [Res], 01200747 Ext.1030",Aung Bawga,Soft Drinks/Juices & Beverages,Mingalar Taung Nyunt,"Rm C-45/46, G Flr, Yuzana Plaza,",Yangon Region
" 01594415, 01595043, 095014396, 095015451",HB Snack & Thar Thar Lay,Snacks,South Dagon,"2827, Chaung Thar 1st St., Industrial Zone (2),",Yangon Region
" 01512337, 09254207039",Aung Awba,Soft Drinks/Juices & Beverages,Sanchaung,"86/88, Rm 4, Baho Rd., Sanchaung (South) Ward,",Yangon Region
" 0931455900, 09250150545",Aung Aung [U],Soft Drinks/Juices & Beverages,Dagon,"Bldg 5, Rm 1, Ziwaka St., Pha Yar Gyi Ward,",Yangon Region
 01220411,Aung,Soft Drinks/Juices & Beverages,Kyeemyin Daing,"11, Theinni St., Thida Ward,",Yangon Region
 0973016399,7 Pm,Karaoke [KTV],Hlaing,"Parami Rd.,Ward (15)",Yangon Region
" 09420315111, 09799547472, 09976944175",Aung,Soft Drinks/Juices & Beverages,South Dagon,"1543, Hlaw Gar Rd., Near (56) Bus Stop, Ward (57),",Yangon Region
" 01544930, 095117611",Caf  Bellagio,Caf s,Bahan,"81, New University Avenue Rd., Corner of Saya San Rd., Saya San Ward,",Yangon Region
" 09794467506, 0973220310",Aung,Soft Drinks/Juices & Beverages,South Dagon,"1168, Kyan Sit Thar Rd., Corner of Hlaw Gar Rd.,Ward (70),",Yangon Region
" 01590350, 01590351, 01590352, 01590462, 01591049","Mikko Food Marketing Co.,Ltd.",Coffee [Manu/Dist],South Dagon,"127, Myit Kyee Nar St., Industrial Zone (1),",Yangon Region
" 01643089, 0931072398",ATM,Soft Drinks/Juices & Beverages,Insein,"127, Maha Thukhitar St., Corner of 4th St.(South),Gyoh Gone (East) Ward,",Yangon Region
" 01684063, 01684084, 01684305","Myanmar Mayson Industries Co.,Ltd.",Bakery & Cake Makers,Hlaing Thar Yar,"62, Mya Taung Wun Gyi U Hmo St., Industrial Zone (1),",Yangon Region
" 095132772, 095075225",Tomo Food Mfg Group,Snacks,South Dagon,"471, Inntaw St., Industrial Zone (2),",Yangon Region
" 01590609, 01590623, 01590801, 095125822",Naing Lin Aye,Stainless Steel Wares,South Dagon,"C/268, Zaung Tu St., Industrial Zone (3),",Yangon Region
" 095079641, 0973025039",More,Stainless Steel Wares,South Dagon,"626, Sittaung St., Industrial Zone (2),",Yangon Region
" 095187818, 01613938, 0973190935, 0973190936, 092051200",Mickle King Food Industry,Bakery & Cake Makers,Hlaing Thar Yar,"495/496, Yaw Ah Twin Wun U Pho Hlaing St., Shwe Linban Industrial Zone,",Yangon Region
" 09448044189, 095120516",Myo Kyaw [U],Stainless Steel Wares,South Dagon,"1523, Moe Ma Kha St., Industrial Zone (2),",Yangon Region
" 0949321360, 09970452183",Aung,Soft Drinks/Juices & Beverages,East Dagon,"No.(2) Main Rd.,Infront Of Institute of Economic,Ywar Thar Gyi Ward",Yangon Region
 09250599990~6,A1,Snacks,Hlaing Thar Yar,"302, Nawaday Min Gyi St., Shwe Linban Industrial Zone,",Yangon Region
 095147673,Myintzima,Stainless Steel Wares,Mingalar Taung Nyunt,"Rm 526, 2nd Flr, Mingalar Market,",Yangon Region
" 09252268799, 095213938",Myit Wah,Stainless Steel Wares,Dagon Seikkan,"1182, Kwan Art Thar Min Thar St., Ward (90),",Yangon Region
 09794274109,Myint Than [U],Stainless Steel Wares,Mingalardon,"56/A, Pyay Rd., Htauk Kyant Junction, Htauk Kyant Lan Sone Pine Ward,",Yangon Region
" 095113060, 09425343366",N.K,Stainless Steel Wares,Mingalar Taung Nyunt,"32, 101th St., Phoh Myay Ward,",Yangon Region
" 0973154403, 09260544862, 095199656",Myint Than [U],Stainless Steel Wares,Lanmadaw,"149, Lanmadaw St., Middle Block,",Yangon Region
" 01708806, 0973013910, 0973089202",Toe Toe [Potato Fried] [Y  Y  Potato Rod Snacks],Snacks,South Dagon,"2785, Pyi Htaung Su Rd., Industrial Zone (2),",Yangon Region
" 0930171567, 09252900452",Aung,Soft Drinks/Juices & Beverages,South Dagon,"548, Ou Yin St., Corner of Hlaw Gar Rd.,Ward (19),",Yangon Region
" 098583527, 095188561, 01212066 Ext.259, 01216591, 0973099155",Myint Thein [U],Stainless Steel Wares,Latha,"Rm 100/108/109,G Flr,Iron Market",Yangon Region
" 09420015507, 0943095321, 095089378",Co Co Light House,,         Zizawar Garden Housing II  ,"Rm 002, Bldg 1, Than Thu Mar Rd., Zizawar Garden Housing II, Ward (15),",South Okkalapa
" 09254461736, 09250230134",Myo Gyi,Stainless Steel Wares,Hlaing Thar Yar,"10/1, Yangon-Pathein Rd., Shwe Kantharyar Shop House, Ward (10),",Yangon Region
 09257305712,Theint Theint Aye [Ma],Snacks,Thaketa,"1547, Htuparyon 17th St., Htu Par Yon Ward (1),",Yangon Region
" 0973051474, 0973052084, 01240600 Ext.4291",Aung Thazin,Soap Cream & Oil,Latha,"D Shed, Rm C/321/322, Underground, Thein Gyi Market,",Yangon Region
" 01227695, 01220560",O-Shin,,,"13, Thate Pan St.,",Ahlone
 0943207301,Tin Yone [U],Snacks,Insein,"86, Hlaing River Rd., Corner of Thiri St.,Zay Gone (West) Ward,",Yangon Region
" 09788631077, 09456328205, 0973217107",Nyein Chan Naing,Stainless Steel Wares,Dagon Seikkan,"763, Kwan Art Thar Min Thar St., Near Shwe Than Lwin Home For Aged, Ward (81),",Yangon Region
" 09420019465, 09420027670",Nine Star,Stainless Steel Wares,South Dagon,"Maung Makan Kan Thar Rd.,Ward (18)",Yangon Region
" 09258585862, 09261306670",Myint Moh,Stainless Steel Wares,South Dagon,"416, Bayint Naung St., Ward (26),",Yangon Region
" 09260104806, 09790211406",Pyae Pyae,Soft Drinks/Juices & Beverages,Thaketa,"1192, Extension 1st St., Infront Of B.E.P.S (42), Ward (2-North),",Yangon Region
 0943112659,Aung Moe Lwin [U],Soft Drinks/Juices & Beverages,Kyeemyin Daing,"27, Sagawah Pin St., Ma Gyee Dan (North-West) Ward,",Yangon Region
" 01642119, 0943191578, 0930254480",Shwe Thar Min,Cold Drinks,Insein,"250, Bayint Naung Rd., Myo Thit (Ka/Kha) Ward,",Yangon Region
" 0973065353, 0943113953",Aung Kyaw,Soft Drinks/Juices & Beverages,Hlaing Thar Yar,"Taung Ngu St.,Ward (15)",Yangon Region
" 01391297, 01245669",Aung Kyaw,Soft Drinks/Juices & Beverages,Kyauktada,"72, Anawrahta Rd.,",Yangon Region
" 012348253, 01706016","Ngwe Sae Taw [999] Co.,Ltd.",Fish & Prawn Crackers,South Dagon,"273/276, Magwe St., Industrial Zone (1),",Yangon Region
 0943000596,Nwe Ni Win,Stainless Steel Wares,Latha,"Rm 114/115,G Flr,Iron Market",Yangon Region
" 09250811827, 0973245801",Aung Kabar,Soft Drinks/Juices & Beverages,Thaketa,"38, Aung Zeya St., Corner of Aung Mingalar St.,Ward (4-North),",Yangon Region
" 095152962, 01710617",Aung Kabar,Soft Drinks/Juices & Beverages,Mingalardon,"Rm 7/8, 14th St., Corner of Mingalardon Zay St.,Mingalardon Zay Ward,",Yangon Region
 01290452,Aung Chan Thar,Soft Drinks/Juices & Beverages,Pazundaung,"Bldg 1, Rm 003, Upper Pazundaung Rd., Pazundaung Garden Housing,",Yangon Region
" 095078955, 0973044667",Aung May [Daw],Soft Drinks/Juices & Beverages,Sanchaung,"211, Baho Rd., Linn Loon (North) Ward,",Yangon Region
" 0943065685, 0973239338, 01522877",Aung Kabar,Soft Drinks/Juices & Beverages,Mayangone,"653, Kyan Sit Thar St., Corner of Thamaing Butar Yon 5th St.,Ward (1),",Yangon Region
 0943125695,Ngwe Yadanar Phyo,Stainless Steel Wares,Mingalar Taung Nyunt,"5, 1st Flr, 113th St., Mingalar Taung Nyunt Ward,",Yangon Region
" 09799777831, 09799777832","Info-Link Technology Co.,Ltd.",Soap Cream & Oil,South Okkalapa ,"288, Byamaso Rd., Ward (6),",Yangon Region
" 095129434, 092021409, 09254044864","Swam Myat Paing Production Co., Ltd.",, F/ -      ,"F/12-13, U Wisara Rd., Industrial Zone, 34 Extension Ward,",North Dagon
 09420101173,"Home Products Mfg Co.,Ltd.",Soap Cream & Oil,South Dagon,"435, Than Lwin St., Industrial Zone (2),",Yangon Region
 095113323,F-Fortune,Soap Cream & Oil,Sanchaung,"55,Nyaung Tone St.,Kyun Taw (South) Ward",Yangon Region
" 09795771976, 09253827778, 09795771972","Corona Mfg Co.,Ltd.",Soap Cream & Oil,Mingalar Taung Nyunt,"41, Phoh Myay St., Phoh Myay Ward,",Yangon Region
" 09787878558, 09787878668, 09787878998","Home Net Service Co.,Ltd.",Soap Cream & Oil,Lanmadaw,"75, 14th St., Middle Block,",Yangon Region
" 09975550340, 09975550470, 01578810",Eazy Clean,,,"49, Kyoe Set Yon St., Thanthumar Rd,",Thingangyun
 09420040177,Ngwe Eain Si,Stainless Steel Wares,South Dagon,"732/A,Myeik St.,Ward (20)",Yangon
" 01297324, 0973036490",Aung Chan Thar,Soft Drinks/Juices & Beverages,Mingalar Taung Nyunt,"Rm A/3/4, Yuzana New Bldg,",Yangon Region
 09421085632,Naung Takhit,Stainless Steel Wares,South Dagon,"D/68, Kyauk Pahtoe 3rd St., Industrial Zone (3),",Yangon Region
 09771083684,Aung Chan Thar,Soft Drinks/Juices & Beverages,Shwe Pyi Thar,"1181, Bogyoke Aung San Rd., Near Kabar Lone Bus Stop, Ward (19),",Yangon Region
" 095046475, 09785046475",Nat Latt Yar,Stainless Steel Wares,Shwe Pyi Thar,"363/B, Maha Myaing St., Ward (9),",Yangon Region
" 09254145879, 01384966 [Office], 01254164, 01385633","Classic Industries Co.,Ltd.",Soap Cream & Oil,Dagon Seikkan,"197/A, Twin Thin Tike Wun U Tun Nyo St., Industrial Zone,",Yangon Region
" 09795115995, 095115995, 0973080700, 01591046",Maung Ko [U] [Family],Soaps,South Dagon,"10/11, Myit Kyee Nar St., Industrial Zone (1),",Yangon Region
" 095129085, 0931624756, 09250536452, 01206206 Ext.3050",Nay La,Stainless Steel Wares,Mingalar Taung Nyunt,"Rm C/50/51,2nd Flr,Shwe Pyae Sone Market",Yangon Region
" 0973257588, 095408764",New Sky,Stainless Steel Wares,South Okkalapa ,"Rm 11, Yadanar Rd., Si Pin Shop Room, Ward (13),",Yangon Region
" 01386388, 01386922, 01243813, 01252211, 095007674","Htun Linn Kyaw Co.,Ltd.",Soap Cream & Oil,Pabedan,"67, 27th St., Lower Middle Block,",Yangon Region
" 09420187021, 09976566656",Htet Mhan,Soap Factories,Hlaing Thar Yar,"206, Makhayar Min Thar Gyi St., Shwe Linban Industrial Zone,",Yangon Region
 01389424,Aung Yadanar,Soft Drinks/Juices & Beverages,Kyauktada,"92, Anawrahta Rd.,",Yangon Region
 09790137085,Aung Zay Soe [Ko],Soft Drinks/Juices & Beverages,Kyeemyin Daing,"5/A, Kun Ywe Dan St., Zay Gyi (West) Ward,",Yangon Region
" 01578810, 09975550340, 09975550470","Eazy Clean Co.,Ltd.",Soap Cream & Oil,Thingangyun,"49, Kyoe Set Yon St., (Kha) Ward,",Yangon Region
" 01539716, 0932238017",Aung [Ko],Soft Drinks/Juices & Beverages,Sanchaung,"80, Mingalar St., Sanchaung (North) Ward,",Yangon Region
,"Excel Co.,Ltd.",Soap Factories,Hlaing Thar Yar,"79,Hlay Thin Ah Twin Wun U Chein St.,Industrial Zone (2)",Yangon
" 095173678, 01595130, 01595550, 01591224, 01594484, 018100673~4",Peninsula Enterprises Ltd. [Mega Steel-My Steel],Stainless Steel Wares,South Dagon,"529/3/529/4, Pin Lon St., Industrial Zone (1),",Yangon Region
" 01525845, 095000887",See Me,Soap Cream & Oil,Kyeemyin Daing,"12, Pan Pin Gyi St., Ma Gyee Dan (South-West) Ward,",Yangon Region
" 01642634, 095120642, 09972768207, 09782838714, 019640240","Paing Soe Wai Co.,Ltd.",Stainless Steel Wares,Insein,"7 Shed, Rm 7/8, Pearl 4th St., Sawbwargyi Gone Warehouses,",Yangon Region
" 01523039, 01508284",Aye Aye Aung [Ma],Soft Drinks/Juices & Beverages,Sanchaung,"4, Tha Yet Taw St., Linn Loon (North) Ward,",Yangon Region
" 09421014321, 09421139196",Okkalar,Stainless Steel Wares,North Okkalapa ,"Rm C/6, Thudhamar Rd., Plastic Factory Shop Room, Nga Ward,",Yangon Region
" 01590659, 012348050, 012348051, 09972222064, 0943067519, 09794742429","Paing Soe Wai Co.,Ltd.",Stainless Steel Wares,South Dagon,"Rm B/58, Yadanar Theingi St., Industrial Zone (3), Township Court Shop Room,",Yangon Region
 09420103013,Pyae Sone Min [Ko],Stainless Steel Wares,South Dagon,"1420, Latha St., Industrial Zone (2),",Yangon Region
" 01372456, 0973038191, 09421150074","Shwe Kaung Pyae Hlaing Co.,Ltd.",Soap Cream & Oil,Hlaing Thar Yar,"116/118, 4th Flr, Bogalay St.,",Yangon Region
" 018100771, 018100770",Pioneer Steel,Stainless Steel Wares,South Dagon,"C/210, Sinte St., Industrial Zone (3),",Yangon Region
" 01240600 Ext.4733, 0973117071",Pann Phyu,Soap Cream & Oil,Latha,"D Shed, Rm C/304/290, Underground, Thein Gyi Market,",Yangon Region
 09254210745,O-SHIN,Soap Cream & Oil,Mingalar Taung Nyunt,"Rm 78/79,3rd Flr,Mingalar Market",Yangon Region
" 09799197739, 095083844, 095408539, 0973141990, 098626457",Myintzu Thaka,Soap Cream & Oil,East Dagon,"80/A, Yadanar Thiri St., Ward (7),",Yangon Region
" 01684043, 01685545, 0973038115, 0973254234",Pahtama Hteik Tan Production Co-op Ltd.,Soap Cream & Oil,Hlaing Thar Yar,"58, Mya Taung Wun Gyi U Hmo St., Industrial Zone (1),",Yangon Region
" 09252088833, 095074966, 01590719, 0973053618, 09421108162",Padamyar Sein,Stainless Steel Wares,South Dagon,"C/10, Lawpita St., Industrial Zone (3),",Yangon Region
" 09250166450, 09974883340",Nyi Nyi [Ko],Stainless Steel Wares,Hlaing Thar Yar,"Bldg 7, Rm B, Anawrahta Rd., Shwe Kantharyar Shop House,",Yangon Region
" 01590925, 09264545453",Oakkar Min,Stainless Steel Wares,South Dagon,"D/104/105, Kyauk Pahtoe 5th St., Industrial Zone (3),",Yangon Region
" 0931873723, 09778560424, 09255743399",Mo Moh,Soap Cream & Oil,Thaketa,"Rm 12/12, Thanlyn Chin Kat Rd., 108 Taung Pagoda Shop Room, Ward (10-South),",Yangon Region
" 09250079464, 09791442892, 09796577500",Ohe Si,Stainless Steel Wares,North Dagon,"144, Bo Hmu Ba Htoo Rd., Ward (42),",Yangon Region
 01222375,Aung Su Pyae,Soft Drinks/Juices & Beverages,Kyeemyin Daing,"48, Kyee Myin Daing Kannar Rd., Corner of Htee Dan 5th St.,Htee Dan Ward,",Yangon Region
" 0973033684, 09254316484",Aung Tun Lin,Soft Drinks/Juices & Beverages,Sanchaung,"4, San Chaung St., Sanchaung (North) Ward,",Yangon Region
" 01212066 Ext.258, 095176307",Royal,Stainless Steel Wares,Latha,"Rm 12/13,G Flr,Iron Market",Yangon Region
" 01206156, 01206155","Royal Red Rose Co.,Ltd.",Stainless Steel Wares,Mingalar Taung Nyunt,"34, 108th St., Mingalar Taung Nyunt Ward,",Yangon Region
" 01388311, 09250135221",Royal Shelf,Stainless Steel Wares,Pazundaung,"475, Lower Pazundaung Rd.,",Yangon Region
 095056866,Royal,Stainless Steel Wares,South Dagon,"Rm 1, Pyi Htaung Su Rd., Industrial Zone (2),",Yangon Region
 095056866,Royal,Stainless Steel Wares,South Dagon,"Rm 2, Inya St., Industrial Zone(2),",Yangon Region
" 01592182, 0973192265","RK Ananda Steel Co.,Ltd.",Stainless Steel Wares,Dagon Seikkan,"64/B, Pade Wun U Shwe Bin St., Industrial Zone,",Yangon Region
" 01652888, 01656322, 01656268","United Pacific Co.,Ltd.",Soap Cream & Oil,Mayangone,"79, Oak Pon Seik St., Ward (8),",Yangon Region
" 092212356, 09421125683","Thin, Win",Soap Cream & Oil,North Okkalapa ,"295/A, Kanaung 4th St., Shwe Pauk Kan Industrial Zone,",Yangon Region
 09428031988,Aung Si Phyo,Soft Drinks/Juices & Beverages,Mingalardon,"Yangon-Bago Rd.,Infront Of Fire Station,Ayekarit Ward",Yangon Region
,Rainger,Stainless Steel Wares,Dawbon,"497,Min Nandar Rd.,Bamar Aye Ward",Yangon
 0973004569,Thant Phyu,Soap Cream & Oil,Thingangyun,"112, Mee Done St., Thuwana/29 Ward,",Yangon Region
 09975705376,Lucky,Soap Cream & Oil,Mingalar Taung Nyunt,"101/103, 4th Flr, Banyar Dala Rd., Tha Pyay Gone Ward,",Yangon Region
" 09448004879, 09450037812",Real Steel,Stainless Steel Wares,Shwe Pyi Thar,"228, Maha Bandoola St., Ward (9),",Yangon Region
" 01381812, 0973038191, 09421150074","Shwe Kaung Pyae Hlaing Co.,Ltd.",Soap Cream & Oil,Kyauktada,"565/567, Rm 404, 4th Flr, Merchant Rd., MAC Tower,",Yangon Region
" 01610501, 01610512, 01610523","Shwe Thazin Super Soap Co.,Ltd.",Soap Cream & Oil,Shwe Pyi Thar,"38,Kanaung 1st St.,Industrial Zone (1)",Yangon Region
" 0930084699, 09963155782",Shwe Mi Khin,Soap Cream & Oil,Mingalar Taung Nyunt,"Rm 465, 3rd Flr, Shwe Mingalar Market, Car Parking (1),",Yangon Region
 095146518,Kyi Soe [U],Soap Cream & Oil,Thaketa,"Rm 1, Zingama Rd., B.E.P.S (42) Shop Room, Ward (2-North),",Yangon Region
" 01227695, 01220560, 01254704 [Head Office], 012300260, 012300261","Sin Sein Ho Co.,Ltd.",Soap Cream & Oil,Ahlone,"13, Thate Pan St., Sin Min Ward,",Yangon Region
 095401398,Pyi Hein Htay,Stainless Steel Wares,Hlaing Thar Yar,"507, Phoe Yarzar St., Ward (7),",Yangon Region
" 09253288722, 095189706, 018619259, 018619128, 018619127",Pyone Pyone & Family,Stainless Steel Wares,Mingalar Taung Nyunt,"101, 123th St., Tha Pyay Gone Ward,",Yangon Region
" 01223453, 01224581, 01226259","Shwe Thazin Co.,Ltd. [Group Company]",Soap Cream & Oil,Lanmadaw,"Bldg 17/18, Bahosi Housing,",Yangon Region
" 0931920737, 09450415450",Aung Myat [U],Soft Drinks/Juices & Beverages,Mingalar Taung Nyunt,"55, Set Yon Rd. (Mill Rd.), Mingalar Taung Nyunt Ward,",Yangon Region
 098602106,Smile,Soap Cream & Oil,North Okkalapa ,"147, Bawga Bala St., Industrial Zone,",Yangon Region
" 01553042, 09254109828",Aung Myittar,Soft Drinks/Juices & Beverages,Thaketa,"1169, Thumana St., Infront Of No(2) Market, Ward (2-South),",Yangon Region
 09960945999,My.Bar,Snack Bars,Yankin,"23/5, Thiri Mingalar Yeikthar Lane, Ward (7),",Yangon Region
" 09253862331, 09975553310",Nine,Food Stalls,North Dagon,"92, Pyi Htaung Su Rd., Ward (38),",Yangon Region
" 09783686260, 09422546135",Lotteria,Food Stalls,Hlaing,"2/A, Pyay Rd., Corner of Kan St.,Ward (10),",Yangon Region
 09421089525,Aung Myittar,Soft Drinks/Juices & Beverages,North Okkalapa ,"563, Thandar 2nd St., Corner of Thandar St.,Sa Lone Ward,",Yangon Region
" 01227757~60, 012301390~94","First Top Group Co.,Ltd.",Agriculture,Lanmadaw,"151, Rm 901/902/903/904, 9th Flr, War Dan St., Myawaddy Luxury Complex,",Yangon Region
" 01240600 Ext.4156, 0973017516",SSS,Soap Cream & Oil,Latha,"D Shed, Rm C/305, Underground, Thein Gyi Market,",Yangon Region
" 01254704, 01227695 [Factory], 01220560 [Factory]","Sin Sein Ho Co.,Ltd.",Soap Cream & Oil,Latha,"626,Maha Bandoola Rd.",Yangon Region
" 095034311, 019000915, 09421117242","Golden Royal Mandalay Services & Trading Co.,Ltd.",Overseas Employment Agencies,Mingalar Taung Nyunt,"96/A, 3rd Flr, Upper Pazundaung Rd., Taung Lone Pyan Ward,",Yangon Region
" 01684377, 01685169, 0943182711","Europe & Asia Commercial Co.,Ltd.",Soft Drinks/Juices & Beverages,Hlaing Thar Yar,"28/31, Bamaw Ah Twin Wun St., Industrial Zone (3),",Yangon Region
" 01296960, 09965122871",LA,Snack Bars,Pazundaung,"74, Yae Kyaw St.,",Yangon Region
 095501498,Zaw Min [Ko],Soap Cream & Oil,Tarmwe,"311, Banyar Dala Rd., Ah Yoe Gone Ward,",Yangon Region
" 012305300, 012305302, 012305301~4","Europe & Asia Commercial Co.,Ltd. [EAC]",Soft Drinks/Juices & Beverages,Hlaing,"19, Rm 4/H/2/B, Baho Rd., Corner of Nilar St.,Ward (13),",Yangon Region
" 01618118, 01618374, 01618618~9","United Pacific Co.,Ltd.",Soap Cream & Oil,Shwe Pyi Thar,"86, Phan Chet Wun U Shwe Oh St., Industrial Zone (3),",Yangon Region
,Mondo,Restaurants [Japanese],Dagon,"26/B, Yaw Min Gyi St., Yaw Min Gyi Ward,",Yangon
" 01680130, 01682717","United Pacific Co.,Ltd.",Soap Cream & Oil,Mayangone,"H/11, Padauk St., Bayint Naung Warehouses,",Yangon Region
" 01503232, 09428038032",Kosan Cafe,Caf s,Latha,"108, 19th St., Upper Block,",Yangon Region
,"Europe & Asia Commercial Co.,Ltd. [EAC]",Soft Drinks/Juices & Beverages,Hlaing Thar Yar,"28,Bamaw Ah Twin Wun St.,Industrial Zone (3)",Yangon
,Hills Bar,Snack Bars,Bahan,"520/A/4, 6th Flr, Kaba Aye Pagoda Rd., Cherry Hills Hotel, Koh Minn Koh Chin Ward,",Yangon
 09450218080,Father's Office,Snack Bars,Kyauktada,"291, Bo Aung Kyaw St., Upper Block, Ward (9),",Yangon Region
" 01522912, 01653238","United Pacific Co.,Ltd.",Soap Cream & Oil,Mayangone,"Yangon-Insein Rd.,Ward (3)",Yangon Region
 01534989,Green Ice,Snack Bars,Sanchaung,"58, Kyun Taw Rd., Kyun Taw (South) Ward,",Yangon Region
 095143303,"Saw Win [U, Haji]",Stainless Steel Wares,Mingalar Taung Nyunt,"29, Mandalay St., Kan Daw Kalay (South) Ward,",Yangon Region
" 019000915, 09421117242, 095034311",Golden Royal Mandalay,,  -A      ,"96-A, 3rd Flr, Upper Pazundaung Rd., Taung Lone Pyan Ward,",Mingalar Taung Nyunt
" 09421052481, 09250541685",Saw Lin,Stainless Steel Wares,South Dagon,"514, Pyi Htaung Su Rd., Ward (25),",Yangon Region
" 095053320, 09250080905, 0943163706",San Chain Hmi,Stainless Steel Wares,Thaketa,"Rm 28, 7th Zay St., Ah Pyin Tan, No.(7) Market Shop Room, Ward (7-West),",Yangon Region
" 01298724, 095024429, 01206304",Sai [Ko],Stainless Steel Wares,Mingalar Taung Nyunt,"52,121th St.,Yae Twin Gone Ward",Yangon Region
" 01512915, 01503005","Smart Land Co.,Ltd.",Export & Import Companies,Hlaing,"16/18, Aye Yeik Mon Main Rd., Ward (3),",Yangon Region
" 095123800, 01590455, 01590489, 01590740, 095125565, 018100533, 018100661","Sein Family [Thein Lwin & Brother Trading Co.,Ltd.]",Stainless Steel Wares,South Dagon,"A/4,Yadanar Theingi St.,Industrial Zone (3)",Yangon Region
" 01618132, 01618586, 01618587","United Pacific Co.,Ltd.",Soap Cream & Oil,Shwe Pyi Thar,"128/129,Min Gyi Maha Min Khaung St.,Industrial Zone (3)",Yangon Region
" 0973491202, 09421131671",The Pizza Company,Food Stalls [Pizza],Bahan,"G Flr,Ocean Super Center",Yangon Region
 09253444827,Lotteria,Food Stalls,Bahan,"G Flr,Ocean Super Center",Yangon Region
" 09421041102, 09972229023",Seik Kyaik,Stainless Steel Wares,South Dagon,"370,Hlaw Gar Rd.,Ward (54)",Yangon Region
" 01516212, 012305384~6, 01706883","Myat Miba Co.,Ltd.",Construction Services,Hlaing,"111, Yangon-Insein Rd., Near Thukha Bus Stop, Ward (9),",Yangon Region
