name,category,street,contact,state,township
"Chyun Chyi Environmental Tech [Myanmar] Co., Ltd.",,"6/A, Rm 3, G Flr, Nat Mauk Rd.,"," 095153121, 09795758309, 09961041144",Yangon Region,Tarmwe
"Aqua Land Myanmar Co.,Ltd.",Export & Import Companies,"9/10/H, May Kha St., May Kha Housing,"," 018566609, 018566621",Yangon Region,Thingangyun
"Amazing Dream Travels & Tours Co.,Ltd.",Tourism Services,"88, 1st Flr, Baho Rd., Mont Let Saung Gone (South) Ward,"," 01534072, 095077968, 095113271",Yangon Region,Sanchaung
"Amalay Best Travels & Tours Co.,Ltd.",Tourism Services,"31, 1st Flr, Si Sone St., Sanchaung (South) Ward,"," 01511223, 09450041818, 09420740713, 01514243",Yangon Region,Sanchaung
"Real Hub Co.,Ltd.",Waterproofing Services,"14, Rm 3, Mar Ga St., Hlaing Myint Moh Housing, Ward (10),"," 09799369768, 09976970353, 09264477843",Yangon Region,Hlaing
"Adventure Phoenix Travel & Tours Co.,Ltd.",Tourism Services,"73/A, Mandalay St., Kan Daw Kalay (West) Ward,"," 01394501, 0943070576, 01394502, 0973029362, 09254549205, 09797758455, 09799804060",Yangon Region,Mingalar Taung Nyunt
"Amazing Asia Travels & Tours Co.,Ltd.",Tourism Services,"151, 1st Flr, 46th St., Upper Block,", 095144933,Yangon Region,Botahtaung
"Advanced Palace Travels & Tours Co.,Ltd.",Air Ticketing Services,"49, G Flr, 42nd St., Lower Block,"," 01373302, 01376755, 01376799, 095412661, 095036146",Yangon Region,Botahtaung
Airtour Myanmar,Tourism Services,"Bldg C/1, Rm 001, G Flr, Hnin Si St., Yuzana Highway Complex,"," 01539977, 01539974, 01539975, 01539976, 09252771122, 09252771133, 09252771144",Yangon Region,Kamayut
"Alai Paing Thar Travels & Tours Co.,Ltd.",Tourism Services,"151/153, 1st Flr, 34th St., Upper Block, Ward (2),"," 01378578, 01384037, 095129195, 0943163947",Yangon Region,Kyauktada
Yay Nagar,Water Tanks,"492, Lower Pazundaung Rd.,"," 09425297373, 09252183013",Yangon Region,Pazundaung
"Myo Painting Group Co.,Ltd.",Parquet Floorings,"7/F, Lan Thit Rd., Infront Of Ah Lein Ngar Sint Pagoda, Nant Thar Gone Ward,"," 01646185, 01643604, 095154176",Yangon Region,Insein
Khin Sann Win [Daw],Bags [School Bags],"510, Than Din Su St., Pauk Taw Ward,"," 0949501609, 09421091129, 0931073829",Yangon Region,Insein
"A-Ray Myanmar Travels & Tours Co.,Ltd.",Tourism Services,"84, 2nd Flr, Myanma Gone Yee St., Kan Daw Kalay (East) Ward,"," 01394410, 09425276073, 0973161301, 095077562",Yangon Region,Mingalar Taung Nyunt
Tourism Myanmar Co-Op Ltd,,"165, 35th St., Middle Block,"," 098623435, 09774204020, 01381200",Yangon Region,Kyauktada
Maung Cho,Waterproofing Products,"Thar Yar Gone St.,Mee Ya Htar Compound,Nant Thar Gone Ward"," 0931076741, 0949253830",Yangon Region,Insein
"Real Hub Co., Ltd.",,"14, Rm 3, Mar Ga St., Hlaing Myint Moh Housing,"," 09799369768, 09976970353",Yangon Region,Hlaing
Kyaw Nyein [U],Bags [School Bags],"555, Thiri Yadanar 1st St., Pauk Taw Ward,", 0932181803,Yangon Region,Insein
Hla Myaing [U],Bags [School Bags],"509, Than Din Su St., Pauk Taw Ward,"," 01646063, 09421057719, 09420308699",Yangon Region,Insein
Hydro Serl,Waterproofing Products,"Bldg 5, Rm 002, G Flr, Strand Rd., Thiri Mingalar Housing,"," 0973055232, 09421101948, 09425371854",Yangon Region,Ahlone
Kan Win [U],Bags [School Bags],"79, Khay Mar St., Kannar (Mid) Ward,"," 01644995, 095406233, 09259267622",Yangon Region,Insein
"Aung Su Wai Travels & Tours Co.,Ltd.",Tourism Services,"Bldg 388, Rm 9, 2nd Flr, Set Hmu (1) Rd., Saya San Ward,"," 01543189, 09258922562, 09258922563, 09258922564, 09258922560",Yangon Region,Bahan
"Auto Net Travels & Tours Co.,Ltd.",Tourism Services,"295/A, 1st Flr, 40th St., Upper Block,"," 01245396, 09421024256, 0973020507",Yangon Region,Kyauktada
"ASMAH Travels & Tours Co.,Ltd.",Tourism Services,"220, 40th St., Upper Middle Block,"," 01246521, 09448019639, 095003919",Yangon Region,Kyauktada
"Avery Group Co.,Ltd.",Tourism Services,"11/K, U Loon Mg 2nd St., Near 7 Mile, Ward (7),", 09254677430,Yangon Region,Mayangone
"Asian Elegant Travels & Tours Co.,Ltd.",Tourism Services,"220, 1st Flr, 37th St., Upper Block,"," 01371680, 09421091550, 09421158487, 09250028337",Yangon Region,Kyauktada
"Arise Halo Travels & Tours Co.,Ltd.",Tourism Services,"Bldg 71, Rm 5, Bayint Naung Rd., Bayint Naung Housing,"," 01513720, 09968380162",Yangon Region,Hlaing
"Shwe Hpon Shein Co.,Ltd.",Export & Import Companies,"Rm 105, G Flr, Pyay Rd., Yadanar Housing,"," 0949291900, 095074532, 01665774",Yangon Region,Mayangone
"Myanmar Int'l FAC System Co.,Ltd.",Paint & Varnish,"Rm 1104, Kyaikkasan Rd., Kan Taw Gyi Tower,"," 01553974, 01554967, 09252123345, 09263891934, 09254969260, 09263129241, 09975022314, 09263129240",Yangon Region,Tarmwe
"J & M Group [John & Maung Co.,Ltd.]",Construction Services,"15, 3rd Flr, Tha Kywe St., Ma Hlwa Gone Htay Kywe Ward,"," 095174522, 0973090436",Yangon Region,Tarmwe
VFS.Global Myanmar Ltd.,Visa Services,"Rm 305, 3rd Flr, Shwe Dagon Pagoda Rd., Prime Hill Business Square,"," 09791089461, 09791089462",Yangon Region,Dagon
"Myanmar Int'l FAC System Co.,Ltd.",Export & Import Companies,"11th Flr, Kyaikkasan Rd., Kan Taw Gyi Tower,"," 01553974, 01554967, 09263891934, 09252123345, 09255930229, 09975022314, 09254969260, 09263129240, 09263129241",Yangon Region,Tarmwe
Hla Myaing [Daw],Bags [School Bags],"504, Than Din Su St., Pauk Taw Ward,"," 01647349, 0973174617",Yangon Region,Insein
Ava Travel Service Ltd.,Tourism Services,"102/A, 4th Flr, Dhama Zedi Rd., Near Wizaya Traffic Light, Shwe Gon Daing (West) Ward,"," 01527291, 01513891",Yangon Region,Bahan
"UCE Solution Co.,Ltd.",Construction Materials,"14/3, Kha Yae Myaing St., Thuwana/23 (Su Paung) Ward,"," 01565236, 09255976232",Yangon Region,Thingangyun
"Maxbond Myanmar Co.,Ltd.",Waterproofing Products,"Bldg C/1, Rm 103, 2nd Flr, Hnin Si St., Yuzana Highway Complex,"," 09425291669, 095147147",Yangon Region,Kamayut
Aung Kyi [U],Bags [School Bags],"112, Thiri Yadanar 2nd St., Pauk Taw Ward,", 0973059455,Yangon Region,Insein
Amazing K Media,Press & Printers [Offset],"140, 2nd Flr, U Chit Maung Rd., Saya San (North-East) Ward,"," 09421076571, 0973228895",Yangon Region,Bahan
"Shield Technology Co.,Ltd.",Waterproofing Products,"Bldg 4, Rm 106, 1st Flr, Strand Rd., Mingalar Sin Min Housing,"," 0973225254, 01388121, 0949235109, 095043280, 09260204433, 09975395939",Yangon Region,Ahlone
Always,Press & Printers [Offset],"165, 34th St., Upper Block,"," 09420088471, 01709283, 0973139451, 09780079285",Yangon Region,Kyauktada
AVSS [Australian Visa & Student Services],Overseas Employment Agencies,"127/A, 1st Flr, Shwe Gon Daing Rd., Infront Of Yuzana Hotel, Shwe Gon Daing (West) Ward,"," 095147227, 09450006944, 0973035503, 09450006955",Yangon Region,Bahan
Ah Lin Tan,Vinyl Printing,"307/A, Sein Pan Myaing St., Ward (7),"," 09421029791, 09795210280",Yangon Region,Hlaing Thar Yar
Ellipia,LED Display Sales & Services,"Bldg F, Rm 001, G Flr, Thu Mingalar Rd., Thazin Min Yeik Thar,"," 09261598004, 098760377, 09261645173",Yangon Region,Thingangyun
Amazing K,Press & Printers [Offset],"140, U Chit Maung Rd., Saya San (North-East) Ward,"," 09421076571, 09791443724, 09451357788, 0973228895",Yangon Region,Bahan
"Crescent Moon Travels & Tours Co.,Ltd.",Tourism Services,"100, 38th St., Lower Middle Block,"," 01252720, 09421124781, 09421124782",Yangon Region,Kyauktada
AKA,Bags [School Bags],"512/A, Than Din Su St., Pauk Taw Ward,"," 095032424, 0973021289",Yangon Region,Insein
"Columbus Travels & Tours Co.,Ltd.",Tourism Services,"253,Bo Aung Kyaw St.,Lower Middle Block"," 0973032795, 01378535, 01378549, 01250125",Yangon Region,Kyauktada
"City Holiday Travels & Tours Co.,Ltd.",Tourism Services,"222/A, 35th St., Upper Block,"," 0973040946, 09780556643, 09425303928",Yangon Region,Kyauktada
"City Vista Myanmar Travels & Tours Co.,Ltd.",Tourism Services,"79/B, 1st Flr, Yangon-Insein Rd., Near Thukha Bus Stop, Ward (9),"," 01525601, 0931949623",Yangon Region,Hlaing
9 Colours,Vinyl Printing,"172/A, 34th St., Upper Block,"," 01385398, 09261336361",Yangon Region,Kyauktada
TIME,,"182/202, 34th St.,  Upper Block,"," 01376985, 09254839590",Yangon Region,Kyauktada
"Center of Universe Travels & Tours Co.,Ltd.",Tourism Services,"179/B, 1st Flr, 40th St., Upper Middle Block,"," 01240645, 095053918, 095060288, 0973033454",Yangon Region,Kyauktada
Aye Aye Yi [Daw],Bags [School Bags],"501,Than Din Su St.,Pauk Taw Ward", 09421091131,Yangon Region,Insein
"Cherry Chapter Travels & Tours Co.,Ltd.",Tourism Services,"135, Than Lwin Rd., Corner of Dhama Zedi Rd.,Shwe Taung Gyar Ward (2),"," 09775077500, 09775007750, 09788800800, 01511141",Yangon Region,Bahan
"Chase Travels & Tours Co.,Ltd.",Tourism Services,"191, Anawrahta Rd.,"," 01240893, 01245337, 09450032465",Yangon Region,Kyauktada
7 Stars,Vinyl Printing,"180, 37th St., Upper Middle Block,"," 01386067, 095029357, 09250641141",Yangon Region,Kyauktada
Aung La Pyae,Weaving Industries,"494/495, Set Hmu St., Ward (9),", 09776218859,Yangon Region,Hlaing Thar Yar
"VSK Int'l Co.,Ltd.",Electronic & Electrical Home Appliance,"47/49, Phone Gyee St., Middle Block,"," 012303013, 012303014, 01224752, 01225648, 01215136, 01214085, 01216758, 01214009",Yangon Region,Lanmadaw
"Super Shine Trading Co.,Ltd.",Electronic & Electrical Home Appliance,"171,Bo Aung Kyaw St.,Lower Middle Block"," 01398495, 01398496~7",Yangon Region,Kyauktada
KZ,,"145/150, G Flr, 48th St.,"," 09450062327, 09450975160, 095146060",Yangon Region,Botahtaung
"United Electrical & Electronics Co.,Ltd.",Electronic & Electrical Home Appliance,"408/410, 1st Flr, Maha Bandoola Rd.,"," 01249585, 01249587, 01384153",Yangon Region,Kyauktada
"Pyae Sone Win Naing Co.,Ltd.",Electronic & Electrical Home Appliance,"Bldg D/E, Rm 1/2, Myanma Gone Yee St., Shwe Mya Yar Housing,"," 01205031~2, 01292565, 01296787, 01292661, 01203485, 01203484",Yangon Region,Mingalar Taung Nyunt
Xenon,,"60/62, 45th St.,  Lower Block,  Beside of YMCA,"," 01297606, 01297045",Yangon Region,Botahtaung
"BKK Future Dream Co.,Ltd.",Tourism Services,"6,1st Flr,West Ar Zar Ni St.,Saya San (North-West) Ward",,Yangon Region,Bahan
"Ayeyarwaddy Legend Travels & Tours Co.,Ltd.",Tourism Services,"104,37th St.,Lower Block"," 01252007, 01252008, 01250909, 01398303, 01377697",Yangon Region,Kyauktada
Multi World,Television Sales & Services,"141/145, Bo Aung Kyaw St., United Condo, Lower Middle Block,"," 01374188, 01242054, 01389688",Yangon Region,Kyauktada
"Elijah & Elisha Travels & Tours Co.,Ltd.",Tourism Services,"185,2nd Flr,36th St.,Middle Block"," 092054366, 09421177027",Yangon Region,Kyauktada
"Easy [Myanmar] Travels & Tours Co.,Ltd.",Tourism Services,"174/176, 1st Flr, Sule Pagoda Rd., Upper Block, Ward (1),"," 01245676, 0973072222, 09265005551~2",Yangon Region,Kyauktada
"Bagan Princess Int'l Tourism Co.,Ltd.",Tourism Services,"131, 40th St., Lower Middle Block,"," 01243245, 01372906, 01381089, 01391612, 01398511",Yangon Region,Kyauktada
"Exotic Myanmar Travels & Tours Co.,Ltd.",Tourism Services,"225/227, Rm 1504, 15th Flr, Bo Aung Kyaw St., Olympic Tower,"," 01392778~9, 01392482, 01386539, 01378720, 095019851, 095036476, 095141241, 01378721",Yangon Region,Kyauktada
City Light,Vinyl Printing,"Thu Dhamar Rd.,Mee Yahtar Shop Room,Kyauk Yae Dwin Ward"," 09256206977, 09799201300",Yangon Region,North Okkalapa 
"Kangaroo Myanmar Co.,Ltd.",Electronic & Electrical Home Appliance,"81/1, New University Avenue Rd., Saya San Ward,"," 018604619, 018604620, 09402666999",Yangon Region,Bahan
"Channel Co.,Ltd.",Vinyl Printing,"86, Padamyar 2nd St., Ward (10),"," 018010620, 09420104080, 0973234503, 0973902722",Yangon Region,East Dagon
Blue Pixel,Vinyl Printing,"14, Thamain Bayan Rd., Ma Hlwa Gone Htay Kywe Ward,"," 01557545, 0936807837, 09963357458, 09422206106",Yangon Region,Tarmwe
"Aung Say Paing Co.,Ltd.",Vinyl Printing,"31,63rd St.",,Yangon Region,Botahtaung
Color Plus,Vinyl Printing,"306,Zabu Thiri St.,Between Zabu Thiri 8th St. and Zabu Thiri 9th St.,Ward (6-West)"," 01450004, 0949258640",Yangon Region,Thaketa
"Anormar Thukhuma Entertainment Media Co.,Ltd.",Vinyl Printing,"1065, Thu Mingalar Rd., Ward (6),"," 095150506, 09450281307",Yangon Region,South Okkalapa 
"ATL Export & Import Co.,Ltd.",Export & Import Companies,"200/206, Set Yon Rd. (Mill Rd.), Ma U Gone Ward,"," 01200624, 01200841, 01200860, 01294841, 018619280, 019000828",Yangon Region,Tarmwe
"Dynamic Myanmar Travels & Tours Co.,Ltd.",Tourism Services,"516, Ou Yin St., Saya San Ward,"," 095121046, 0973080104, 01554982, 0943095099, 09420042404",Yangon Region,Bahan
"Sharp [Showroom] [SDM Co.,Ltd.]",Electrical Goods Sales,"173/175, Pansoedan St., Middle Block,"," 01249591, 01253425, 095011179",Yangon Region,Kyauktada
Color Zone,Vinyl Printing,"75, G Flr, Kun Ywe Dan St., Zay Gyi (East) Ward,"," 09975975570, 09788788369",Yangon Region,Kyeemyin Daing
Grand Electronics,Television Sales & Services,"207/209, Bo Soon Pat St., Upper Middle Block,"," 01377533, 01240842",Yangon Region,Pabedan
"Dream Paradise Travels & Tours Co.,Ltd.",Tourism Services,"Bldg 1, Rm 103, 1st Flr, Bayint Naung Rd., Zeyar Mon Housing,"," 019688778, 09420002089, 09420002090",Yangon Region,Mayangone
"Dandelion Travels & Tours Co.,Ltd.",Tourism Services,"54, Ahlone Rd., Corner of Baho Rd.,Pyay (West) Ward,"," 012302011, 095172589",Yangon Region,Dagon
"Dream Land Travels & Tours Co.,Ltd.",Tourism Services,"206, G Flr, 39th St., Upper Middle Block,"," 01385232, 01377080, 0973113244, 095661603, 095101120",Yangon Region,Kyauktada
"Crystal World Travels & Tours Co.,Ltd.",Tourism Services,"171/A, 1st Flr, 38th St., Upper Middle Block,"," 01383368, 095181937",Yangon Region,Kyauktada
Aung Brother,Vinyl Printing,"315, Thu Mingalar Rd., Ward (4),", 09780004934,Yangon Region,South Okkalapa 
Diamond Thayet Travels & Tours,Tourism Services,"41, Thiri Mingalar Lane, Ward (8),"," 01527341, 09253510774, 09961963119, 09786749181",Yangon Region,Hlaing
Aung,Vinyl Printing,"1042/B, Sat San Htun St., Ward (1),"," 09421057552, 09795656645",Yangon Region,East Dagon
Kaung Set,Yogurt,"21,U Phee St.,Sanchaung (South) Ward",,Yangon Region,Sanchaung
Hle Ka Lay N   Dein Chin Th,Cold Drinks,"15/B, Yangon-Insein Rd., Corner of U Tun Linn Chan St.,Ward (1),"," 01505432, 095175803",Yangon Region,Kamayut
Mingalar Par,Yogurt,"Anawmar St.,Corner of 19th St.,Pyi Myanmar Co-operative Shop Room,Ward (2-North)"," 09791239787, 0973208105, 09420175494",Yangon Region,Thaketa
"Green Circle Co.,Ltd.",Soft Drinks/Juices & Beverages,"116/A/2, Kanaung Min Thar Gyi St., Industrial Zone (1),"," 01610456, 01610259, 01612754, 01610813, 01612756",Yangon Region,Shwe Pyi Thar
2.9.5 [Kirisana],Butter,"295, Rm 3, Kon Zay Dan St., Upper Block,", 095072539,Yangon Region,Pabedan
"Dairy Myanmar Network Co.,Ltd.",Export & Import Companies,"30, Thu Nandar 1st St., Thu Mingalar Housing,"," 01573548, 09252061100",Yangon Region,Thingangyun
U Sami,Water Pipes & Accessories,"62, 54th St.,  Upper Middle Block,"," 019010830, 095172273",Yangon Region,Pazundaung
"Eastern Shining Star Travels & Tours Co.,Ltd.",Tourism Services,"284/B, 1st Flr, 40th St., Upper Block,"," 01392685, 0973157452, 09252852063",Yangon Region,Kyauktada
Frolick,Yogurt,"2nd Flr,Junction Square"," 01527242 Ext.3042, 0949208005, 098621950, 09791709708",Yangon Region,Kamayut
Daung Min,Water Pipes & Accessories,"90 St., Between 20 St. and 21 St., West No. 6 State Middle School, Near Shwe Lin Pin Pagoda,"," 092212372, 0943048566",Mandalay Region,Aung Myay Thar Zan
Zwe Kabar,,"36 St., Between 74 St. and 75 St.,"," 0943099756, 09444028022",Yangon Region,Maha Aung Myay
202 [Sweet Home],Water Pipes & Accessories,"202, 1st Flr, Bo Soon Pat St., Upper Middle Block,"," 09777888141, 01256456, 09975325522",Yangon Region,Pabedan
Aye Myitta,,"3, 73 St.,Between 35 St. and 36 St.,"," 0273498, 092063638, 092032492",Yangon Region,Maha Aung Myay
"Global Vocation Tourism Services Co.,Ltd.",Tourism Services,"75, 1st Flr, Marlar Myaing 6th St., Ward (16),"," 012305311, 0936677227~9, 09795560096",Yangon Region,Hlaing
MK. Mg Mg,Water Pipes & Accessories,"53, 55th St.,  Upper Middle Block,"," 095048887, 0949311720, 0973155276",Yangon Region,Pazundaung
Hle Ka Lay N   Dein Chin Th,Cold Drinks,"60, Hledan Rd., Ward (3),"," 01505432, 095074490",Yangon Region,Kamayut
"Global Asia Myanmar Travels & Tours Co.,Ltd.",Tourism Services,"167, 1st Flr, 38th St., Upper Middle Block,"," 01391619, 01388911, 0949255980, 0943049603, 0943067325, 09450043884, 09250032489",Yangon Region,Kyauktada
"Global Grace Travels & Tours Co.,Ltd.",Tourism Services,"37, G and 1st Flr, Baho (East) St., Saya San (North-East) Ward,"," 01549931, 0931101999, 0931070289, 09778555991~2",Yangon Region,Bahan
"Glorious Myanmar Co.,Ltd.",Tourism Services,"9, Bldg C/2, Yaw Min Gyi St., Yaw Min Gyi Ward,"," 01242510, 09260336043",Yangon Region,Dagon
Silver Pearl,Fashion Shops,"36, Aung Myay Thar Yar St., Kone Ta La Paung,"," 09448003036, 09789099738",Yangon Region,Mingalardon
Thein Myanmar,Yogurt,"210, Baho Rd., Kyun Taw (North) Ward,", 095032476,Yangon Region,Sanchaung
Walco,Yogurt,"20, Mya Nandar 1st St., Mya Thida Ward,"," 0973205542, 0943144283",Yangon Region,Mingalardon
TM,Yogurt,"Aung Zeya St., Corner of Aung Zeya 4th St., Yangon Thit Ward,"," 09790139114, 09254190615",Yangon Region,Thingangyun
"Gateway [71] Travels & Tours Co.,Ltd.",Tourism Services,"77, Rm 1, G Flr, 38th St., Lower Middle Block,"," 01249102, 09795321192~5",Yangon Region,Kyauktada
"Forever Top Travels & Tours Co.,Ltd.",Pilgrimage Tours,"Bldg D, Rm D/4/1, 4th Flr, North Bazaar St., E-Condo,"," 01377646, 01371870, 09250515367",Yangon Region,Dagon
"Fair & Square Travels & Tours Co.,Ltd.",Tourism Services,"79,38th St.,Lower Middle Block"," 01377688, 0973005511, 0973002211",Yangon Region,Kyauktada
"Fairness Travels & Tours Co.,Ltd.",Tourism Services,"36, Bo Hmu Aung St., Bo Sein Hman Ward,"," 01545119, 01545601, 018603844",Yangon Region,Bahan
Than Oo [Ko],Yogurt,"660/B, Hnin Si 4th St., Hta Wun Bae Ward,", 0930205270,Yangon Region,North Okkalapa 
Baho,,"75, 25 St., Between 83 St. and 84 St.,"," 0236307, 0236310",Yangon Region,Aung Myay Thar Zan
"Gold Backed Travels & Tours Co.,Ltd.",Tourism Services,"Rm 102, Shwe Gon Daing Rd., Shwe Gon Daing Tower (B),"," 01554307, 01552849, 095142773, 0973087411",Yangon Region,Bahan
241 K.M,,"241, Bo Soon Pat St.,"," 09731391841, 09795419747",Yangon Region,Pabedan
Shwe Sin Pyan,,"1232, Thitsar Rd.,   Coner OfThumingar Rd,", 0943071086,Yangon Region,South Okkalapa
AA Electronics Ltd.,Television Sales & Services,"408/410, 1st Flr, Maha Bandoola Rd.,"," 01249585, 01249587, 01384153",Yangon Region,Kyauktada
Cherry Myanmar,Water Treatment Systems,"200, Bo Soon Pat St., Upper Middle Block,"," 01378978, 095052674",Yangon Region,Pabedan
LEO,,"75, 25 St., Between 83 St. and 84 St.,"," 0236307, 0236310",Yangon Region,Aung Myay Thar Zan
"Benhur Industries Co.,Ltd.",Water Tanks,"114/115, Kanaung Min Thar Gyi St., Industrial Zone (4),"," 095119440, 01682283, 01682289, 01682674, 01682961",Yangon Region,Shwe Pyi Thar
"Firefly Travels & Tours Co.,Ltd.",Tourism Services,"173, G Flr, 35th St., Upper Middle Block,"," 01391019, 01376168, 01371638, 095026486, 09421015946, 095501519",Yangon Region,Kyauktada
