state,township,name,contact,street,Category
Yangon Region,Pazundaung,Khin Maung Gyi [U], 09250176570,"Rm 8, Shwe Phone Pwint Pagoda St., Shwe Bone Pwint Pagoda Shop Room,",Garden
Yangon Region,Bahan,Khin Mar Kyi, 01558504,"Rm 18, Old Yae Tar Shae Rd., Gyar Taw Ya Ward,",Garden
Yangon Region,Mingalar Taung Nyunt,Khaing," 095002331, 0931920986","58, 130th St., Tha Pyay Gone Ward,",Garden
Yangon Region,Dagon,Khin Hla [Daw]," 0973125883, 09971987414","Rm 10, Shwe Dagon Pagoda (South Entrance),",Garden
Yangon Region,Dagon,Khin Kyi [Daw], 09421056070,"Rm 9, Shwe Dagon Pagoda (South Entrance),",Garden
Yangon Region,Dagon,Mya Shin [Daw], 09979673846,"Rm 6, Shwe Dagon Pagoda (South Entrance),",Garden
Yangon Region,Dagon,Myat Shwe Gone," 09450024414, 018100358 [Res]","Rm 2/4, Shwe Dagon Pagoda (East Entrance),",Garden
Yangon Region,Dagon,Ma Ma [Daw] & Poe Nyunt [Daw], 0943116326,"Rm 2/4, Shwe Dagon Pagoda (South Entrance),",Garden
Yangon Region,Bahan,Me Me Tun, 09782100525,"Rm 20, Old Yae Tar Shae Rd., Gyar Taw Ya Ward,",Garden
Yangon Region,Dagon,Mya Kyi [Daw], 09421056070,"Rm 7, Shwe Dagon Pagoda (South Entrance),",Garden
Yangon Region,Pabedan,Mingalar Pann Kone," 0973115343, 0973179130","303/313, Rm 1/B, Kon Zay Dan St., Upper Middle Block,",Garden
Yangon Region,North Dagon,M & J, 095039991,"160, Saya San Rd., Pin Lon Hospital, Ward (28),",Garden
Yangon Region,Kyeemyin Daing,M & J Event & Floral Service, 095039991,"68, Ohn Pin St., Zay Gyi (East) Ward,",Garden
Yangon Region,Dagon,Mya Lay [Daw], 09777848863,"Rm 12, Shwe Dagon Pagoda (South Entrance),",Garden
Yangon Region,Botahtaung,Lin Lin," 0949329259, 095100491","133, 1st Flr, 42nd St., Lower Middle Block,",Garden
Yangon Region,Mingalar Taung Nyunt,Pann Cherry," 095198347, 01430753 [Res], 09421018754","Rm 771/772,2nd Flr,Mingalar Market",Garden
Yangon Region,Mingalar Taung Nyunt,Nyein Chan," 0943096493, 09255857966, 09799771689","496, Thein Phyu Rd., Phoh Myay Ward,",Garden
Yangon Region,Yankin,Pann Gandawin," 095173707, 09420044175","Bldg 21, Rm 3, G Flr, Yan Shin St., Palm Village,",Garden
Yangon Region,Mayangone,Nwe Wady, 095133935,"Min Dhama Rd., Infront Of Shwe Kabar Housing, Ward (4),",Garden
Yangon Region,Bahan,Padamyar," 09450038349, 09799892138","Rm 2, Bahan Market,",Garden
Yangon Region,Mayangone,Oshibana [Framing]," 09250648675, 095179411","59, Rm 29, 2nd Flr, Kaba Aye Pagoda Rd., Chaw Dwin Gone Bus Stop, Ward (10),",Garden
Yangon Region,Pabedan,Pann Akari," 095035405, 095097453, 09420050577","194, 28th St., Upper Block,",Garden
Yangon Region,Pabedan,Ni Ni Point, 095143937,"New East D Shed, Rm 73, Bogyoke Aung San Market,",Garden
Yangon Region,Kyeemyin Daing,Myat Thant [Ko] Kyee Myin Daing," 09785067329, 095067329","90, Rm 2/A, 1st Flr, Kun Ywe Dan St., Zay Gyi (East) Ward,",Garden
Yangon Region,Mingalar Taung Nyunt,Pann Cherry, 09421018754,"Rm 254, Shwe Mingalar Market, Car Pat Lan,",Garden
Yangon Region,Pazundaung,Shwe Kant Kaw, 01298028,"Rm 12, Shwe Phone Pwint Pagoda St., Shwe Bone Pwint Pagoda Shop Room,",Garden
Yangon Region,Mingalar Taung Nyunt,Shwe Latt Yar,,"496,Thein Phyu Rd.,Phoh Myay Ward",Garden
Yangon Region,Pabedan,Sein Sein," 01242009 Ext.525, 09448006239","1 Shed, Rm 26, New Bogyoke Aung San Market,",Garden
Yangon Region,Bahan,Paris Florist, 09796789888,"93, Saya San Rd., Saya San (North-East) Ward,",Garden
Yangon Region,Yankin,Sann Sann Aye [Ma], 09420129981,"Bldg 208, Rm 5, Yan Shin St., Ward (1),",Garden
Yangon Region,Pabedan,Pann Wah Nwe," 09254133043, 0973031970, 0973176794","207, 28th St., Upper Block,",Garden
Yangon Region,Botahtaung,Pann Wah Nwe," 01217254, 0973031970, 0973176794","2nd Flr,Gamone Pwint Shopping Mall",Garden
Yangon Region,Pabedan,Sann Thit Sa," 095164266, 0973002767, 01371822 Ext.225, 01382600, 095049793, 01650253 (Res)","Rm 21/22/24/25, 26th St., Maha Thein Daw Gyi,",Garden
Yangon Region,Dagon,Thin Thin Oo [Daw], 0949319079,"Rm 2/3/4, Shwe Dagon Pagoda (West Entrance),",Garden
Yangon Region,Pabedan,Sandar Maung," 09420072688, 095127866","East A Shed, Rm 3, Bogyoke Aung San Market,",Garden
Yangon Region,Pazundaung,Thapyay Nwe," 09448002009, 09420074739","Rm 21, Shwe Phone Pwint Pagoda St., Shwe Bone Pwint Pagoda Shop Room,",Garden
Yangon Region,Mingalar Taung Nyunt,Thin Thin Hlaing [Ma]," 01392025, 09250645204","Rm 501,2nd Flr,Mingalar Market",Garden
Yangon Region,Dagon,Pann [Daw]," 0949321407, 09420094756","Rm 3, Shwe Dagon Pagoda (South Entrance),",Garden
Yangon Region,Pabedan,Swel Taw," 095502831, 01379475 Ext.547, 01228655 [Res]","1 Shed, Rm 3, New Bogyoke Aung San Market,",Garden
Yangon Region,Dagon,Thin Kyi [Daw]," 09254116246, 0973250541","Rm 8, Shwe Dagon Pagoda (South Entrance),",Garden
Yangon Region,Thingangyun,Su, 09420099891,"Rm 1, Kyaikkasan Pagoda(West Entrance),",Garden
Yangon Region,Dagon,Shwe Wutt Hmone," 095074737, 0931865535","Rm 1, Shwe Dagon Pagoda (South Entrance),",Garden
Yangon Region,Dagon,Shwe Pwint Hlwar," 09250367702, 09967845838","Rm 1/3, Shwe Dagon Pagoda (East Entrance),",Garden
Yangon Region,Dagon,Than Tin [Daw], 09420261391,"Rm 5, Shwe Dagon Pagoda (South Entrance),",Garden
Yangon Region,Pazundaung,Than Aung [Ko], 095164120,"Rm 18, Shwe Phone Pwint Pagoda St., Shwe Bone Pwint Pagoda Shop Room,",Garden
Yangon Region,Pabedan,Yin Min," 09420100170, 09420075601, 09420765657","West A Shed, Rm 5, Bogyoke Aung San Market,",Garden
Yangon Region,Hlaing,Yan Naing, 09452100881,"Bldg 20, Rm 005, Aye Yeik Mon 1st St., Ward (4),",Garden
Yangon Region,Insein,Wang Florist," 0989779658, 09782666688","145, Pyay Rd., 10 Mile, Saw Bwar Gyi Gone Ward,",Garden
Yangon Region,Yankin,Tulip, 0931639901,"Bldg 221, Rm 1, Yan Shin St., Near 12 Lone Tan Traffic Light, Ward (1),",Garden
Yangon Region,Pabedan,Tin Tun [Mg]," 0931291914, 01380997 [Res], 01380997 (Res)","Rm 7,26th St.,Maha Thein Daw Gyi",Garden
Yangon Region,Hlaing,"Top of The Top Trading Co.,Ltd."," 095123340, 01682370, 09797110120, 095501462","Bldg 22, Rm 005, Aye Yeik Mon 1st St., Aye Yeik Mon Housing,",Garden
Yangon Region,Latha,Wah Wah Win," 0973191316, 0931110191, 01240600 Ext.4671","D Shed, Rm B/30/31, G Flr, Thein Gyi Market,",Garden
Yangon Region,Dagon Seikkan,"Polymer Co.,Ltd."," 01293445, 01298641, 01592052, 01592375","25, Kanaung Min Thar Gyi Rd., Industrial Zone,",Home
Yangon Region,Pazundaung,Myanmar Cotton Company," 01291317, 098627489, 095198248, 01202921","120, Maha Bandoola Rd.,",Home
Yangon Region,Lanmadaw,Kyin Thaung [Daw]," 01245488, 01251019","151/A, Lanmadaw St., Middle Block,",Home
Yangon Region,Kyauktada,Lucky 99, 0973051891,"38th St.,Upper Block",Home
Yangon Region,Latha,Kaung Kaung," 095416076, 09420329704, 09790455845","Rm 90/87/88,2nd Flr,Iron Market",Home
Yangon Region,Hlaing Thar Yar,Pwint Tun," 0973188990, 09254254393","616, Bo Aung Kyaw St., Ward (9),",Home
Yangon Region,Bahan,"Hanvico Myanmar Co.,Ltd."," 09401602895, 09250416689, 018604524","7, Saya San Rd., Saya San Ward,",Home
Yangon Region,Mingalar Taung Nyunt,"Myanmar Pyae Sone Aung Co.,Ltd. [Showroom]"," 095185603, 095106122, 01200747 Ext.7017","Bldg 11, Rm 04, Hnin Si St., Yuzana Mingalar City Housing,",Home
Yangon Region,Bahan,"Valentine Mfg Co.,Ltd."," 09799886672, 0973093837, 01559780, 01540063","231, Shwe Gon Daing Rd., Shwe Gon Daing (Mid) Ward,",Home
Yangon Region,Mingalar Taung Nyunt,Thin Thin [Ma]," 01200747 Ext.7299, 018619296","Bldg 38, Rm 002, Aung Thapyay St., Yuzana Mingalar City Housing,",Home
Yangon Region,Pabedan,"Shwe Myay Linn Int'l Co.,Ltd."," 01254673, 09785012686, 0973208953, 0930256458","323, Rm 2, 1st Flr, Anawrahta Rd.,",Home
Yangon Region,Pabedan,Relax," 01254673, 095012686","232/2, 1st Flr, Anawrahta Rd.,",Home
Yangon Region,Pabedan,Shwe Latt Saung," 01371800 Ext.338, 095069427","Bldg 1, C Shed, Rm 18/C, G Flr, Thein Gyi Market,",Home
Yangon Region,Sanchaung,Hlaing Hlaing Phyo," 01518202, 095505116, 09420027187","Rm F/25, San Chaung St., Padonmar Stadium Shop Room, Shin Saw Pu Ward,",Home
Yangon Region,Kyeemyin Daing,Splendida Furnishings Gallery," 012300974, 095409954, 095153009, 095177388, 095057070, 0973144657","3rd Flr, Kyee Myin Daing Kannar Rd., Thiri Mingalar Old Market,",Home
Yangon Region,Kamayut,"Sinma Furnishings Co.,Ltd. [Sinma]"," 01539413, 09450035694, 012300974, 012301004, 012301008","103/A, Dhama Zedi Rd., Ward (10),",Home
Yangon Region,Pazundaung,Annawah Hein," 01202241, 095124157, 0973138341","Bldg 8, Rm 002, Annawah St., Nyaung Tan Housing,",Equipment & Supplies
Yangon Region,Pabedan,Annawah," 01250051, 0973036217","48, 26th St., Lower Middle Block,",Equipment & Supplies
Yangon Region,Pabedan,Ahr Lan Bai," 01376182, 01384977, 01370622 Ext.556, 01297675 [Res], 095185873","A Shed, Rm 277/278, Thein Gyi Market,",Equipment & Supplies
Yangon Region,Pabedan,Ah Lin Yaung," 0973257284, 09786581756, 01370622 Ext.322","A Shed, Rm 270/271, Thein Gyi Market,",Equipment & Supplies
Yangon Region,Dagon Seikkan,"Advance Seafood Industries Co.,Ltd.", 0973090981,"127, Than Chet Wun U Myue St., Industrial Zone,",Equipment & Supplies
Yangon Region,Pabedan,9999 [U Ba Myint]," 09428035168, 01371822 Ext.191, 01370622 Ext.549, 01382600","A Shed, Rm 32/64, Thein Gyi Market,",Equipment & Supplies
Yangon Region,Pabedan,Ayeyar Htun," 01384560, 098625769","69, 26th St.,  Lower Block,",Equipment & Supplies
Yangon Region,South Dagon,Aung Star," 09450065757, 095195554","17/A, Myeik St., Ward (21),",Equipment & Supplies
Yangon Region,Pabedan,Ayeyar Nadi," 0949892325, 098613604, 01556672 [Res]","23, 25th St., Lower Middle Block,",Equipment & Supplies
Yangon Region,Pazundaung,Aung Pin Lal, 095159450,"413, Lower Pazundaung Rd.,",Equipment & Supplies
Yangon Region,Shwe Pyi Thar,Aye Myint [U]," 09450055118, 09420114312","188, Kanaung 6th St., Industrial Zone (1),",Equipment & Supplies
Yangon Region,Pazundaung,Ar Lin By, 095097091,"Lower Pazundaung Rd., Pyi Taw Thit Yeik Thar,",Equipment & Supplies
Yangon Region,Dagon,"Arsha Thar Fishing Gear Co.,Ltd."," 09257866668, 0973009487","4th Flr, U Wisara Rd., Olympic Hotel, U Wisara Ward,",Equipment & Supplies
Yangon Region,Pazundaung,"Aspire Aim Machinery Trading Co.,Ltd."," 01293656, 095181244, 09977396401","47, Anawrahta Rd.,",Equipment & Supplies
Yangon Region,Pabedan,Hla Myint [U]," 01243451, 0973126389, 01242488 Ext.3082, 01370622 Ext.566, 01371822 Ext.566","55, 26th St., Lower Middle Block,",Equipment & Supplies
Yangon Region,Pabedan,Khin Maung Latt & Brothers," 0973022620, 095506021, 095101874, 01370622 Ext.534, 01382600 Ext.150","A Shed, Rm 380/381, Thein Gyi Market,",Equipment & Supplies
Yangon Region,Pabedan,Eisamaing @ Khin Maung Swe," 095068285, 09975068285","A Shed, Rm 55, Thein Gyi Market,",Equipment & Supplies
Yangon Region,Lanmadaw,"Boom Soon Int'l Co.,Ltd."," 01229337, 0973115516, 0973115517","312/318, Rm 203/B, 3rd Flr, Anawrahta Rd., Great Wall Asia Condo,",Equipment & Supplies
Yangon Region,Pabedan,Baho," 095002902, 01240600 Ext.4875, 01370622 Ext.375","A Shed, Rm 399/400/401, Thein Gyi Market,",Equipment & Supplies
Yangon Region,Pabedan,Ayeyar Tun," 01384560, 098625769","69, 26th St., Lower Middle Block,",Equipment & Supplies
Yangon Region,Pabedan,Five Star," 01240141, 095122353, 01384904, 0949307179","51, 26th St., Lower Middle Block,",Equipment & Supplies
Yangon Region,Pabedan,Hu Sein By," 01240600 Ext.820, 01370622 Ext.557, 09788886350","A Shed, Rm 177, Thein Gyi Market,",Equipment & Supplies
Yangon Region,Pabedan,Maung Hla [U]," 09448007636, 095035418, 01240600 Ext.4848, 01370622 Ext.481","B Shed, Rm 351/398/399, Thein Gyi Market,",Equipment & Supplies
Yangon Region,Pabedan,Maung Gyi  [U]," 09421032585, 01240600 Ext.4803, 01370622 Ext.305/162, 01240915 [Res], 01240600 Ext.4803","A Shed, Rm 541/542, Thein Gyi Market,",Equipment & Supplies
Yangon Region,Pabedan,Khin Maung Hla [U]," 01370622 Ext.552, 095171706","A Shed, Rm 285, Thein Gyi Market,",Equipment & Supplies
Yangon Region,Pabedan,Golden Sea," 01256036, 0949307179","54, 26th St., Lower Middle Block,",Equipment & Supplies
Yangon Region,Pabedan,Maung Aye [Ko] & Sons," 01253835, 095098625, 01249845, 0973007786","A Shed, Rm 284, Thein Gyi Market,",Equipment & Supplies
Yangon Region,Pabedan,Malikha," 0973254815, 0973004821","A Shed, Rm 398, Thein Gyi Market,",Equipment & Supplies
Yangon Region,Pabedan,Lucky," 0973204061, 095406885, 01242775 Ext.2435","A Shed, Rm 263, Thein Gyi Market,",Equipment & Supplies
Yangon Region,Pabedan,Mate Swe," 0973050676, 09254043319, 09785050676, 01370622 Ext.551","A Shed, Rm 49, Thein Gyi Market,",Equipment & Supplies
Yangon Region,Pabedan,Kyaw Family," 095114752, 0973009490, 098510218","A Shed, Rm 183, Thein Gyi Market,",Equipment & Supplies
Yangon Region,Pabedan,Maung Kyi [U]," 01240600 Ext.4830, 01371822 Ext.554, 01370622 Ext.554, 01206439, 095148344","A Shed, Rm 166/173, Thein Gyi Market,",Equipment & Supplies
Yangon Region,Pazundaung,Kyan Tine Aung, 09420072998,"481, Lower Pazundaung Rd.,",Equipment & Supplies
Yangon Region,Pazundaung,"Myat Thura Industry Co.,Ltd."," 01202611, 01298185","Bldg 1, Rm C, Annawah Lane (2), Nyaung Tan Housing,",Equipment & Supplies
Yangon Region,Hlaing Thar Yar,Myanmar [CNFC]," 01685121, 01685306, 01685442","32, Bamaw Ah Twin Wun St., Industrial Zone (3),",Equipment & Supplies
Yangon Region,South Dagon,Min Thu [U]," 01591300, 01594341","1583/5,May Kha St.,Industrial Zone (2)",Equipment & Supplies
Yangon Region,Pabedan,Maung Sein [U]," 0973225571, 01380099 [Res], 01380622 Ext.569, 01370622 Ext.569, 01252331","A Shed, Rm 395, Thein Gyi Market,",Equipment & Supplies
Yangon Region,South Dagon,Muni Yan Thee @ Mayanthee," 01590963, 095000210, 095065907, 09262226899, 01298945 [Res], 09440440976","C/297, Pazundaung Set Hmu St., Industrial Zone (3),",Equipment & Supplies
Yangon Region,Pabedan,Maung Nge [Ko] & Family," 01376863, 09975569618, 01205496, 0973009022","52, 26th St.,",Equipment & Supplies
Yangon Region,Pabedan,Myat Noe Thu," 095016494, 0973164138, 01382600 Ext.162, 09370622 Ext.162","A Shed, Rm 530/538/539, Thein Gyi Market,",Equipment & Supplies
Yangon Region,Pabedan,Maung Nge [Ko] & Family," 0973009022, 01376863, 01382600 Ext.107, 01240600 Ext.4807","A Shed, Rm 178/179/273/274, Thein Gyi Market,",Equipment & Supplies
Yangon Region,Pabedan,Lwin," 01241943, 095192475, 0973207064","58, 26th St., Lower Middle Block,",Equipment & Supplies
Yangon Region,Pabedan,Maung Maung Kyaw [Ko]," 0973009490, 095114752","46, Kon Zay Dan St., Lower Middle Block,",Equipment & Supplies
Yangon Region,Pabedan,Maung Naing [Ko], 0931043348,"A Shed, Rm 269, Thein Gyi Market,",Equipment & Supplies
Yangon Region,Pazundaung,Phoe Hla [U] & Sons," 01203026, 0949320692, 09448009938","440, Lower Pazundaung Rd.,",Equipment & Supplies
Yangon Region,Pabedan,Shwe Annawah," 0931061388, 01370622 Ext.682, 01371822","A Shed, Rm 60/61, Thein Gyi Market,",Equipment & Supplies
Yangon Region,Pabedan,Nyaung Tone Husein Bi," 0973242865, 01375458, 098578283, 095017676, 098022697","105, Kon Zay Dan St., Lower Middle Block,",Equipment & Supplies
Yangon Region,Pabedan,"Ngapali Trading Co.,Ltd."," 01251619, 01370622 Ext.177, 01387386, 095113377, 09975508223","123/125, 26th St., Upper Middle Block,",Equipment & Supplies
Yangon Region,Pabedan,One Star [S Star]," 01254757, 0973097416, 0973156262","39/55, 26th St., Lower Middle Block,",Equipment & Supplies
Yangon Region,Pabedan,Nyunt Sein [Ko]," 01241276, 097201449, 0973157538, 01224488 [Res]","A Shed, Rm 191, Thein Gyi Market,",Equipment & Supplies
Yangon Region,Pabedan,Myo Naing [Ko] [Phyar Pone]," 01700990, 01387131, 01240600 Ext.4584, 0973020758","A Shed, Rm 282/283/280/172, Thein Gyi Market,",Equipment & Supplies
Yangon Region,South Dagon,Sann Yi [Daw], 095117100,"3, Pyi Htaung Su Rd., Ward (65),",Equipment & Supplies
Yangon Region,Lanmadaw,Myint Oo [U]," 01224725, 01225678, 0973244531","40, 12th St., Middle Block,",Equipment & Supplies
Yangon Region,Pabedan,Saw Than Htoo," 01246810, 0932105418, 0949571562, 095160566, 09786673836","75, 26th St., Lower Middle Block,",Equipment & Supplies
Yangon Region,Pabedan,Shwe Ywet Hlay," 09785030426, 0931288379, 095030426, 01242775 Ext.2338","63, 26th St., Lower Middle Block,",Equipment & Supplies
Yangon Region,Pabedan,Soe Moe [Ko]," 095087881, 0973901120, 01382600 Ext.283, 01372956 [Res]","A Shed, Rm 73, Thein Gyi Market,",Equipment & Supplies
Yangon Region,Pabedan,Shwe Tan Ngar Cho Too Lay," 01386962, 095191714, 01376438, 095197896","182, 1st Flr, Kon Zay Dan St., Upper Middle Block,",Equipment & Supplies
Yangon Region,Pabedan,Shwe Tangar Ko Kyaw Thein," 095189502, 095194236, 01370622 Ext.568, 01371822 Ext.568, 01382600 Ext.568","A Shed, Rm 284/C, Thein Gyi Market,",Equipment & Supplies
Yangon Region,Pabedan,Shwe Tan Ngar Cho Too Lay," 095191714, 095197896, 01240600 Ext.4587/4111, 01242775 Ext.2202, 01386962","A Shed, Rm 174/175, Thein Gyi Market,",Equipment & Supplies
Yangon Region,Pazundaung,Shwe Pyi Oo," 0973057306, 09973057306","Bldg 6, Rm 101, G Flr, Lower Pazundaung Rd., Nyaung Tan Housing,",Equipment & Supplies
Yangon Region,Pabedan,Shwe Kalat," 01243890, 095003243, 0973151639, 0930209829","56, 26th St., Lower Middle Block,",Equipment & Supplies
Yangon Region,Pabedan,Shwe Di Hline," 098636685, 0973097455, 01385636, 01370622 Ext.315/316/574, 01240600 Ext.4596","A Shed, Rm 59/167/168/169, Thein Gyi Market,",Equipment & Supplies
Yangon Region,Pabedan,Shwe Kalatt," 01243890, 0930209829, 095003243, 0973151639, 01370622 Ext.529/592/563, 01387175 [Res]","A Shed, Rm 302/419/420/421/290, Thein Gyi Market,",Equipment & Supplies
Yangon Region,Pabedan,Shwe Pyi Thar [Tin Htwe [Ko]]," 09795388698, 0930250897, 01242775 Ext.2433, 01394133 (Res), 09253674655, 01394658 (Res)","68, 26th St., Lower Middle Block,",Equipment & Supplies
Yangon Region,Pabedan,Tin Maung [U]," 01378620, 01253342, 0973173716, 0949582894","68, 26th St., Lower Middle Block,",Equipment & Supplies
Yangon Region,Hlaing Thar Yar,TMP," 01684526, 01684797, 01685923","220, Myin Wun U Aung Thu St., Industrial Zone (2),",Equipment & Supplies
Yangon Region,Pabedan,Three Star," 01388372, 01240885, 0943051837, 09252882337","70, 26th St., Lower Middle Block,",Equipment & Supplies
Yangon Region,Pabedan,Thein Lwin [U]," 09785041981, 0973157293, 095041981, 01240600 Ext.4585, 01224979 [Res]","A Shed, Rm 279, Thein Gyi Market,",Equipment & Supplies
Yangon Region,Pabedan,Thin Thin Hlaing [Daw]," 0973201449, 01224488 [Res], 01240600 Ext.4109, 01370622 Ext.156","A Shed, Rm 385, Thein Gyi Market,",Equipment & Supplies
Yangon Region,Pazundaung,Swan," 01204098 Ext.261/203, 0973085234, 01204097","Bldg 4, Rm 003, Annawah St., Nyaung Tan Housing,",Equipment & Supplies
Yangon Region,Pabedan,Tanintharyi [U Myint Soe & Sons]," 01372745, 095136204, 095143072, 0973020988, 098624651","25, 26th St., Lower Middle Block,",Equipment & Supplies
Yangon Region,Hlaing Thar Yar,Tet Nay Win, 01685699,"49, U Yay Paw St., Industrial Zone (2),",Equipment & Supplies
