name,street,township,contact,state,Category
Kaung [U],"B Shed, Rm 215, Thein Gyi Market,",Pabedan," 0973157645, 01371822 Ext.134, 01370622 Ext.134",Yangon Region,Apparel
Kaung Star,"Rm 342,G Flr,Mingalar Market",Mingalar Taung Nyunt," 095102818, 09450006293",Yangon Region,Apparel
Kaung Nyunt,"B Shed, Rm 207, Thein Gyi Market,",Pabedan," 0931289136, 01370622 Ext.475/134, 01549793 [Res]",Yangon Region,Apparel
Kant Kaw Myaing,"B Shed, Rm 113/114, Thein Gyi Market,",Pabedan," 095166101, 01370622 Ext.677, 01253780",Yangon Region,Apparel
Ka Yain Naw [Shwe Ngar],"Rm 283/284,G Flr,Mingalar Market",Mingalar Taung Nyunt," 01205637, 019000933, 01206159",Yangon Region,Apparel
Ka Yain Naw,"Rm D-14, G Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 01205637, 01222095, 01206159, 019000933, 012300034",Yangon Region,Apparel
Ka Yain Naw,"Rm 661/662,G Flr,Mingalar Market",Mingalar Taung Nyunt," 019000933, 01205637, 0973053355",Yangon Region,Apparel
Kyin Tin [Daw] [KT Two Elephants],"B Shed, Rm 321/324, Thein Gyi Market,",Pabedan," 095104036, 0973204955, 01210562 [Res], 01370622 Ext.406",Yangon Region,Apparel
Kyaw Myint [U],"34, 140th St., Ma U Gone Ward,",Tarmwe," 01293377, 09250268790",Yangon Region,Apparel
Kyaw Lwin Oo [U],"D Shed, Rm C/101, G Flr, Thein Gyi Market,",Latha, 01240600 Ext.4187,Yangon Region,Apparel
Ka Thit Pwint,"Rm 108, 1st Flr, Shwe Mingalar Market,",Mingalar Taung Nyunt, 09254051947,Yangon Region,Apparel
Kyal Sin,"Rm I-20, G Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 01200747 Ext.1069, 0973051505",Yangon Region,Apparel
Kyal Sin,"Rm F-19, G Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 01200747 Ext.1049, 0973031811",Yangon Region,Apparel
"Kyun Shwe Wah General Economic Co.,Ltd.","52, Lay Daunt Kan Rd., Bo Kan Nyunt Ward,",Thingangyun, 09798254031,Yangon Region,Apparel
Kyae Nyi Naung,"B Shed, Rm 32, Thein Gyi Market,",Pabedan," 095153384, 01226381 [Res], 01371822 Ext.718",Yangon Region,Apparel
Kyaw Kyar,"55,120th St.,Yae Twin Gone Ward",Mingalar Taung Nyunt," 01202504, 095105459, 0949801762",Yangon Region,Apparel
Khit Thit Wai,"11/A, Bayint Naung Rd., Ward (5),",Shwe Pyi Thar," 0943136596, 0973092258",Yangon Region,Apparel
Khin Htay Win [Ma],"Bldg 24, Rm 001, 1st St., Yuzana Garden City Housing, B Block,",Dagon Seikkan," 09781775701, 09420239974",Yangon Region,Apparel
Manaw May,"B Shed, Rm 34, Thein Gyi Market,",Pabedan," 09250182518, 095189303, 09974227395, 098615279",Yangon Region,Apparel
Maung Oo,"B Shed, Rm 111, Thein Gyi Market,",Pabedan," 01370622 Ext.705, 01371822 Ext.705",Yangon Region,Apparel
Leik Pyar,"Rm 106, G Flr, Shwe Mingalar Market, Entrance (5),",Mingalar Taung Nyunt, 09421144700,Yangon Region,Apparel
Maung Maung Cho,"Rm 25, 1st Flr, Shwe Mingalar Market,",Mingalar Taung Nyunt, 095046349,Yangon Region,Apparel
Lion King,"Bldg 10, Rm 7, Yuzana St., Yuzana Mingalar City Housing,",Tarmwe," 01206024, 092030188",Yangon Region,Apparel
Lab Pwint,"Rm 16, 1st Flr, Mingalar Market,",Mingalar Taung Nyunt, 0973037494,Yangon Region,Apparel
Lay Khin [Daw],"Rm 64/63, 1st Flr, Iron Market,",Latha,,Yangon Region,Apparel
Mahar Nwe [Shwe Pyi Wun],"Rm 429/430,1st Flr,Mingalar Market",Mingalar Taung Nyunt," 01205299, 095011979",Yangon Region,Apparel
La Yeik Phyu,"1 Shed, Rm 92, New Bogyoke Aung San Market,",Pabedan, 0943173676,Yangon Region,Apparel
Lab Pwint,"Rm 79, Taw Win Plaza,",Mingalar Taung Nyunt, 0973037494,Yangon Region,Apparel
Moe Pearl,"Rm 628, 1st Flr, Mingalar Market,",Mingalar Taung Nyunt, 09253354866,Yangon Region,Apparel
Moe Myint May,"Rm K-40, G Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 095170905, 09798162397",Yangon Region,Apparel
Moe Thauk Pann,"Rm 232,G Flr,Mingalar Market",Mingalar Taung Nyunt," 095402934, 09421047117, 09795161021 [Res]",Yangon Region,Apparel
Mingalar,"Rm 107/G/2, G Flr, Mingalar Mon Market,",Mingalar Taung Nyunt," 0973086690, 0973086691",Yangon Region,Apparel
Miba Myittar,"C Shed, Rm O/25, G Flr, Thein Gyi Market,",Pabedan," 01371800 Ext.359, 09428027286",Yangon Region,Apparel
Mingalar Moe,"988/989, Pyin Ma Myaing St., Ward (34),",North Dagon," 018010303, 095028688, 09795627541",Yangon Region,Apparel
Moe Thauk Pann,"Rm 92/92/G/2, G Flr, Mingalar Mon Market,",Mingalar Taung Nyunt," 095402934, 09972169896",Yangon Region,Apparel
Mingalar,"Rm 68/41,G Flr,Mingalar Market",Mingalar Taung Nyunt," 0925012155, 0973086691, 09254012155",Yangon Region,Apparel
Miba Ah Yeik,"C Shed, Rm G, G Flr, Thein Gyi Market,",Pabedan," 01371800 Ext.348, 0949330786",Yangon Region,Apparel
Miba Myittar,"Bogyoke Aung San Rd.,Near Than Din Market,Ward (19)",Shwe Pyi Thar, 0973233005,Yangon Region,Apparel
Mya Kyal Phyu,"Rm 165,G Flr,Mingalar Market",Mingalar Taung Nyunt, 0949262038,Yangon Region,Apparel
Mya Kyar Phyu,"Rm 1, G Flr, Shwe Mingalar Market,",Mingalar Taung Nyunt, 09262386390,Yangon Region,Apparel
Mya Kyar Phyu,"B Shed, Rm 141/144, Thein Gyi Market,",Pabedan," 09250025251, 095028213, 01382600 Ext.141",Yangon Region,Apparel
Mya Kyar Phyu,"Rm 66/75, G Flr, Shwe Mingalar Market,",Mingalar Taung Nyunt, 09455272558,Yangon Region,Apparel
Moe Thiha,"Rm 181/182/G/3, G Flr, Mingalar Mon Market,",Mingalar Taung Nyunt," 0973107145, 095090919",Yangon Region,Apparel
Muditar,"531, Thu Nandar Rd., Ta Ta Lin Cheik Ward,",North Okkalapa , 019691320,Yangon Region,Apparel
Mya Chue,"B Shed, Rm 303, Thein Gyi Market,",Pabedan," 095141490, 01377756, 01706123 [Res], 01382600, 01371822 Ext.101",Yangon Region,Apparel
Monywa,"Bldg 66, Rm 002, Aung Sandar St., Kyan Sit Thar Housing,",Hlaing Thar Yar," 09256312280, 09795184505",Yangon Region,Apparel
Myat Su Khaing,"Rm 715/716,G Flr,Mingalar Market",Mingalar Taung Nyunt," 095013172, 09250737708",Yangon Region,Apparel
Myanmar Han,"47, Mingalar St., Phawh Kan Ward,",Insein," 09428016230, 09421180858",Yangon Region,Apparel
Mya Thazin,"Rm 65, 1st Flr, Shwe Mingalar Market,",Mingalar Taung Nyunt," 0973196148, 0973196148, 092165297",Yangon Region,Apparel
Mya Thazin,"10, Myaung Gyi St., Galon Ward,",Ahlone," 092165297, 0973196148",Yangon Region,Apparel
Mya Thone Lone,"Rm 38, G Flr, Shwe Mingalar Market,",Mingalar Taung Nyunt," 095041530, 09777750522",Yangon Region,Apparel
Mya Than [Daw],"B Shed, Rm 80, Thein Gyi Market,",Pabedan, 0949346118,Yangon Region,Apparel
Mya Zin Yaw,"Rm 330, Shwe Mingalar Market, Car Pat Lan,",Mingalar Taung Nyunt," 095177414, 09420001317",Yangon Region,Apparel
Mya Nilar,"B Shed, Rm 179/180, Thein Gyi Market,",Pabedan," 01252707, 095502797, 01205355 [Res]",Yangon Region,Apparel
Mya Thazin,"Rm 330,G Flr,Mingalar Market",Mingalar Taung Nyunt," 092165297, 0973196148",Yangon Region,Apparel
Mya Nan Shwe Yee,"East D Shed, Rm 105, Bogyoke Aung San Market,",Pabedan," 01376445, 01298074 (Res)",Yangon Region,Apparel
Nay Wun Hnin Si,"Rm 227/228,1st Flr,Mingalar Market",Mingalar Taung Nyunt," 098501811, 09250171792",Yangon Region,Apparel
Nay La,"East D Shed, Rm 70/71, Bogyoke Aung San Market,",Pabedan," 09795926791, 09799989307",Yangon Region,Apparel
New Star,"D Shed, Rm B/49, G Flr, Thein Gyi Market,",Latha," 0973103032, 09254831322, 0931628913",Yangon Region,Apparel
Myittar Yay Sin,"Rm 563/564,1st Flr,Mingalar Market",Mingalar Taung Nyunt," 095031987, 0973020909",Yangon Region,Apparel
Nay Wun Hnin Si,"Rm 227/G/3, G Flr, Mingalar Mon Market,",Mingalar Taung Nyunt," 09250171792, 098501811",Yangon Region,Apparel
Myo Thant [U],"Rm 109/G/2, G Flr, Mingalar Mon Market,",Mingalar Taung Nyunt," 0949262038, 09258782825",Yangon Region,Apparel
Myint Htay [Ko],"96,Thu Nandar Rd.,Hta Wun Bae Ward",North Okkalapa , 09261635337,Yangon Region,Apparel
Nan Nadi,"Rm 706,1st Flr,Mingalar Market",Mingalar Taung Nyunt," 095415491, 09421010949",Yangon Region,Apparel
Myittar Taw Win,"147, Ahlone Rd., Htar Nar Ward,",Ahlone," 012300687, 095122393",Yangon Region,Apparel
Myinn Pyan Maung Mel,"B Shed, Rm 120, Thein Gyi Market,",Pabedan," 09793269084, 01370622 Ext.474",Yangon Region,Apparel
Par Gyi Kyaik,"Rm 183,G Flr,Mingalar Market",Mingalar Taung Nyunt, 095199126,Yangon Region,Apparel
One Star,"1153, Kanbei Butar Yon Rd., Ward (11),",Yankin," 09250137057, 09254441716, 09974075056",Yangon Region,Apparel
Padauk,"171, Lanmadaw St., Middle Block,",Lanmadaw," 01245554, 01251113",Yangon Region,Apparel
OK,"Rm 36,4th Flr,Mingalar Market",Mingalar Taung Nyunt," 095191330, 0949742287",Yangon Region,Apparel
Ngwe Kyoe Kyar,"Rm 555, Yar Yee Mingalar Market,",Mingalar Taung Nyunt," 095031527, 095054981",Yangon Region,Apparel
Nyunt [Daw],"Rm 333/334,G Flr,Mingalar Market",Mingalar Taung Nyunt," 01298993, 095182329",Yangon Region,Apparel
P.M.P,"Rm 78, G Flr, Shwe Mingalar Market, Entrance (1),",Mingalar Taung Nyunt," 01298548, 09442318616",Yangon Region,Apparel
P.M.P,"Bldg 6, Rm 04, Hnin Si St., Yuzana Mingalar City Housing,",Mingalar Taung Nyunt," 01298548, 0943146596, 095036385",Yangon Region,Apparel
Nyi Nyi Tun [Ko],"B Shed, Rm 147, Thein Gyi Market,",Pabedan," 095200905, 01241256",Yangon Region,Apparel
Pwint Thitsar,"100, Bogyoke Aung San Rd.,",Pazundaung," 01202803, 01295581, 01293779",Yangon Region,Apparel
Pann Cherry,"Bldg 1/2, C Shed, G Flr, Thein Gyi Market,",Pabedan," 01371800 Ext.339, 095599786",Yangon Region,Apparel
Pwint Thitsa,"Rm 584,1st Flr,Mingalar Market",Mingalar Taung Nyunt, 095138423,Yangon Region,Apparel
Pwint Chat,"Rm 283/G/4, G Flr, Mingalar Mon Market,",Mingalar Taung Nyunt," 095199126, 09250290893",Yangon Region,Apparel
PP,"28, 125th St., Tha Pyay Gone Ward,",Mingalar Taung Nyunt," 098630786, 095099789, 098634889",Yangon Region,Apparel
Poh Poh,"Rm 112/114,G Flr,Mingalar Market",Mingalar Taung Nyunt," 01298425, 095416920, 095127983",Yangon Region,Apparel
Poh Poh,"B Shed, Rm 97, Thein Gyi Market,",Pabedan," 0973206045, 01371822 Ext.714, 01370622 Ext.714",Yangon Region,Apparel
Po Po,"Rm 182, G Flr, Shwe Mingalar Market, Entrance (4),",Mingalar Taung Nyunt," 0973002754, 095127983, 095416920",Yangon Region,Apparel
Pwint Oo,"Rm M-41/42, G Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 0973049431, 09250030343, 095159259, 095038924 [Res]",Yangon Region,Apparel
Phyo Pyae Sone,"Rm 186/187,2nd Flr,Mingalar Market",Mingalar Taung Nyunt," 012300092, 095166026, 0973048903",Yangon Region,Apparel
Phone Pyae Sone,"Rm 538,2nd Flr,Mingalar Market",Mingalar Taung Nyunt," 095115749, 0973142422",Yangon Region,Apparel
Saw [U],"Rm 92, 2nd Flr, Shwe Mingalar Market,",Mingalar Taung Nyunt, 095142754,Yangon Region,Apparel
San Tin [U],"276, Kyaikkasan Rd., Ma Hlwa Gone Htay Kywe Ward,",Tarmwe, 01551482,Yangon Region,Apparel
Sann Thit,"507, Yadanar Rd., Ward (11),",South Okkalapa ," 018550525, 09780167930",Yangon Region,Apparel
San Thitsar,"144, G Flr, Seikkanthar St., Lower Middle Block,",Kyauktada," 01384306, 095417776",Yangon Region,Apparel
SAG,"Rm D-18, G Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 092032432, 09796166492, 01200747 Ext.1477",Yangon Region,Apparel
San Shwe [U],"B Shed, Rm 24, Thein Gyi Market,",Pabedan," 09795809765, 01212050 [Res], 01370622 Ext.463, 01371800 Ext.463, 0973155810",Yangon Region,Apparel
Royal Rose,"151/153, Shwe Bon Tha St., Lower Block,",Pabedan," 095054233, 0973052379, 09254889955",Yangon Region,Apparel
Royal Queen,"Rm H-26, 3rd Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 095064400, 0931200894",Yangon Region,Apparel
Pyi Hein Kyaw,"Rm SD-5, G Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 01709907, 095007072",Yangon Region,Apparel
Pyae Phyo Lay,"Rm 212/596,G Flr,Mingalar Market",Mingalar Taung Nyunt," 095055738, 098633792",Yangon Region,Apparel
Shwe Dar,"B Shed, Rm 306, Thein Gyi Market,",Pabedan," 095160670, 095167585, 0973200840, 095106359, 01382600 Ext.102",Yangon Region,Apparel
Shwe Dar,"B Shed, Rm 187, Thein Gyi Market,",Pabedan," 01382600 Ext.467/102, 09420314995, 01370622 Ext.467/102, 095106359, 01225643 [Res]",Yangon Region,Apparel
Sein Yadanar,"Rm 188/184/G/2, G Flr, Mingalar Mon Market,",Mingalar Taung Nyunt," 0973187745, 09252408166",Yangon Region,Apparel
Seik Tine Kya,"C Shed, Rm O/5, G Flr, Thein Gyi Market,",Pabedan," 095037612, 01371800 Ext.341, 01371526 [Res]",Yangon Region,Apparel
Show Brother,"Rm F-38, G Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 01200747 Ext.1055, 095127312, 09254052179, 01212335 [Res]",Yangon Region,Apparel
Sein Gyo + Shwe Gyo [Shwe Kyar Gyi],"B Shed, Rm 208, Thein Gyi Market,",Pabedan," 01388054, 095139081",Yangon Region,Apparel
Sein,"Rm 121, G Flr, Mingalar Market,",Mingalar Taung Nyunt, 01225736,Yangon Region,Apparel
Sein Yadanar,"Rm 635/636,G Flr,Mingalar Market",Mingalar Taung Nyunt, 0973187745,Yangon Region,Apparel
Sein Win [U],"B Shed, Rm 393, Thein Gyi Market,",Pabedan, 0973096819,Yangon Region,Apparel
"Shwe Ka Thit, Kyar Net","339/349/B,1st Flr,49th St.,Upper Middle Block",Pazundaung,,Yangon Region,Apparel
Shwe Htate Tan,"Rm 123, 2nd Flr, Shwe Mingalar Market,",Mingalar Taung Nyunt," 0943065321, 09421025166",Yangon Region,Apparel
Shwe Hnin Si,"B Shed, Rm 60, Thein Gyi Market,",Pabedan, 095014117,Yangon Region,Apparel
Shwe Hinthar,"Rm 805,G Flr,Mingalar Market",Mingalar Taung Nyunt," 095198462, 0973177730, 0973116620, 0931041525",Yangon Region,Apparel
Shwe Hinthar,"Rm 52, 1st Flr, Shwe Mingalar Market,",Mingalar Taung Nyunt," 095021114, 09965021114",Yangon Region,Apparel
Shwe Gyan [U],"Rm 553, Yar Yee Mingalar Market,",Mingalar Taung Nyunt," 09260225024, 09263616996, 09263814214, 09425269004",Yangon Region,Apparel
Shwe Gone Toe,"B Shed, Rm 205, Thein Gyi Market,",Pabedan," 0943036775, 01382600 Ext.113",Yangon Region,Apparel
Sein Pann Thee,"Rm 311/312,G Flr,Mingalar Market",Mingalar Taung Nyunt," 01200937, 01223336, 01224395, 0973097243",Yangon Region,Apparel
Shwe Htike,"B Shed, Rm 192, Thein Gyi Market,",Pabedan," 0931061050, 01245719 [Res], 01370622 Ext.423",Yangon Region,Apparel
Shwe Eaindray,"Rm 718,G Flr,Mingalar Market",Mingalar Taung Nyunt, 095002230,Yangon Region,Apparel
Shwe Moung,"Rm A-15, G Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 095166532, 01200747 Ext.1124",Yangon Region,Apparel
Shwe Eaindray,"Rm N-41/42, G Flr, Yuzana Plaza,",Mingalar Taung Nyunt," 095002230, 0973048829",Yangon Region,Apparel
Shwe Min Wun,"C Shed, Rm A-4, 1st Flr, Thein Gyi Market,",Pabedan," 09421097445, 09421095537",Yangon Region,Apparel
Shwe Moe,"1209, Pin Lon Rd., Ward (35),",North Dagon," 09256150640, 095126025",Yangon Region,Apparel
Shwe Min Wun,"B Shed, Rm 87/89, Thein Gyi Market,",Pabedan," 09421097443, 09421095537",Yangon Region,Apparel
Shwe Kan Sint,"Rm 695,G Flr,Mingalar Market",Mingalar Taung Nyunt, 0973078017,Yangon Region,Apparel
Shwe Lab Pwint,"2/91,Bo Ba Htoo St.,Ward (2)",Hlaing Thar Yar,,Yangon Region,Apparel
Shwe Kan Sint,"Rm W-45, G Flr, Yuzana Plaza,",Mingalar Taung Nyunt, 0973078017,Yangon Region,Apparel
Shwe Kainnari,"Rm 159/160,G Flr,Mingalar Market",Mingalar Taung Nyunt," 092022613, 09420082635",Yangon Region,Apparel
Shwe Pazun,"Rm 565/566, Yar Yee Mingalar Market,",Mingalar Taung Nyunt," 01224823, 095173384",Yangon Region,Apparel
Shwe Pazun,"31/B, Shwe Taung Dan St., Lower Block,",Lanmadaw," 01224823, 095173384, 095102023, 01228785",Yangon Region,Apparel
Shwe Pann Thee,"Rm 565/566, G Flr, Mingalar Market,",Mingalar Taung Nyunt, 0949261990,Yangon Region,Apparel
Shwe Kant Kaw,"37, Dhama Wi Ha Ra St., Kyarr Kwet Thit Ward,",Tarmwe, 0973006031,Yangon Region,Apparel
Shwe Ohn Pin,"Rm 149,G Flr,Mingalar Market",Mingalar Taung Nyunt," 01240618, 095076824, 0973049879, 09254203212",Yangon Region,Apparel
Shwe Myoh Taw,"26, Kyee Myin Daing Kannar Rd., Corner of Bandar Pin St.,Htee Dan Ward,",Kyeemyin Daing," 01225243, 012317082, 095150687, 0943145982",Yangon Region,Apparel
Shwe Myint Moh,"Rm 118/139,G Flr,Mingalar Market",Mingalar Taung Nyunt," 01205834, 01708875, 095109286",Yangon Region,Apparel
Shwe Ohe,"561, Rm 5, Maha Bandoola Rd.,",Pabedan,,Yangon Region,Apparel
Shwe Pazun,"B Shed, Rm 311, Thein Gyi Market,",Pabedan," 095102023, 01224823 [Res], 01228785 [Res], 01382600 Ext.271",Yangon Region,Apparel
"Shwe Kathit, Kyar Net","B Shed, Rm 341/339, Thein Gyi Market,",Pabedan," 01246061, 095078540, 018610007",Yangon Region,Apparel
Shwe Ohn Pin,"Rm 196/G/3, G Flr, Mingalar Mon Market,",Mingalar Taung Nyunt," 095076824, 09254203212, 09779004724",Yangon Region,Apparel
Shwe Nyi Ah Ko,"Rm 22, Yankin Rd., Construction Compound, Ward (1),",Yankin," 098591817, 0930079965",Yangon Region,Apparel
Shwe Wah Tun,"B Shed, Rm 85, Thein Gyi Market,",Pabedan," 095134082, 01370622 Ext.497, 01518081 [Res]",Yangon Region,Apparel
Shwe Wal Thiri,"14, Sittaung St., Ward (6),",Shwe Pyi Thar," 01611027, 09776025228",Yangon Region,Apparel
Shwe Yamin [Wan Twin],"32, Mingalar St., Ward (8),",Kamayut," 01537435, 09421011398",Yangon Region,Apparel
Shwe Pwint Thit,"Rm 479,G Flr,Mingalar Market",Mingalar Taung Nyunt," 0973244200, 01540913 [Res]",Yangon Region,Apparel
Shwe Poe,"West D Shed, Rm 4, Bogyoke Aung San Market,",Pabedan," 01252957, 095005904, 0949227178",Yangon Region,Apparel
Shwe Thit Min,"Rm 214,G Flr,Mingalar Market",Mingalar Taung Nyunt," 0973247821, 095108821, 0973052834, 01229291 [Res]",Yangon Region,Apparel
Shwe Pink Ku,"Rm 51,1st Flr,Mingalar Market",Mingalar Taung Nyunt," 0973049879, 0931950025, 09422548150",Yangon Region,Apparel
Shwe Tike,"B Shed, Rm 103, Thein Gyi Market,",Pabedan," 0973434123, 01370622 Ext.686",Yangon Region,Apparel
Shwe Pazun [2],"Rm 16,G Flr,Mingalar Market",Mingalar Taung Nyunt," 095102023, 095173384",Yangon Region,Apparel
Shwe Pyi,"B Shed, Rm 365, Thein Gyi Market,",Pabedan," 01253759, 01376852, 095198839, 095198840, 0973153373",Yangon Region,Apparel
Su Su Naing [Ma],"905/B, Thalar Waddy St., Ward (10-South),",Thaketa," 01450227, 01450837",Yangon Region,Apparel
Solar,"B Shed, Rm 346, Thein Gyi Market,",Pabedan," 01370622 Ext.422, 0931060824, 01241270 [Res]",Yangon Region,Apparel
Taung Paw Thar [Chin],"92, Thudhamar Rd., Hta Wun Bae Ward,",North Okkalapa , 0973242868,Yangon Region,Apparel
Taw Win Myanmar,"Rm 633, Yar Yee Mingalar Market,",Mingalar Taung Nyunt, 09448009227,Yangon Region,Apparel
Soe Soe Win,"1 Shed, Rm 37/38, Insein Market,",Insein," 01647418, 09252274063",Yangon Region,Apparel
